id,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14,object_15,object_16,object_17
102,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
103,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,plant,
104,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
105,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
106,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
107,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
108,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
110,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
111,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
112,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
113,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
114,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,
115,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,
116,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
117,bathtub,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,,,
118,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
119,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
120,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
121,bathtub,shower,bathroom vanity,sink,toothbrush,cup,soap,mirror,toilet,shelf,soap bottle,picture,window,,,,
122,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
123,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,mirror,lamp,toilet,shelf,window,,,,,,
124,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
125,bathtub,shower,bathroom vanity,sink,lamp,toilet,shelf,window,plant,,,,,,,,
126,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
127,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
128,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
129,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
130,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,,
131,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
132,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
133,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
134,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
135,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,,
136,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
