id,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14,object_15,object_16,object_17,object_18,object_19,object_20,object_21,object_22
102,door,towel holder,bathtub,sink,soap,cabinet,mirror,paper towel,toilet paper,bin,window,toilet,chair,shower,shower screen,rug,toilet brush,,,,,
103,shower,shower screen,rug,door,sink,toilet,rug,,,,,,,,,,,,,,,
104,toilet paper,toilet,flower,window,sink,mirror,soap,towel,rug,,,,,,,,,,,,,
105,bathroom vanity,sink,window,toilet paper,toilet,rug,bathtub,shower screen,,,,,,,,,,,,,,
106,toilet,fan,outlet,towel,sink,mirror,bathroom vanity,towel,rug,bathtub,shelf,shampoo bottle,soap,,,,,,,,,
107,sink,mirror,toilet,bathtub,shower screen,laundry basket,washing machine,,,,,,,,,,,,,,,
108,sink,mirror,shower,shower screen,bathtub,rug,towel,toilet,,,,,,,,,,,,,,
110,bin,toilet,heater,towel,bathroom vanity,sink,rug,soap,mirror,shower,shower screen,window,,,,,,,,,,
111,towel holder,mirror,sink,closet,toilet paper,toilet paper pack,toilet brush,shower,shower screen,rug,lamp,,,,,,,,,,,
112,toilet brush,toilet,window,closet,mirror,bathroom vanity,sink,lamp,rug,bathtub,shower,,,,,,,,,,,
113,bin,toilet,toilet brush,rug,shower,shower screen,shampoo bottle,heater,towel holder,sink,mirror,cabinet,soap,door,,,,,,,,
114,mirror,bathroom vanity,sink,shower,shower screen,rug,shelf,toilet paper,toilet,,,,,,,,,,,,,
115,door,shower,shower screen,shampoo bottle,heater,window,toilet,sink,mirror,washing machine,,,,,,,,,,,,
116,window,bathtub,bin,slipper,rug,sink,soap,toothbrush,razor,shelf,bathroom utensil,picture,shower,shower screen,toilet,,,,,,,
117,shelf,bathroom utensil,shower,shower curtain,window,toilet,toilet paper,sink,cup,toothbrush,,,,,,,,,,,,
118,toilet,sink,rug,mirror,cabinet,bathtub,,,,,,,,,,,,,,,,
119,door,sink,bathroom vanity,cabinet,mirror,cup,toothbrush,toothpaste,bin,shelf,bathroom utensil,toilet,toilet paper,toilet brush,rug,bidet,towel holder,towel,cabinet,shower,shower screen,shampoo bottle
120,bathtub,shower,ceiling light,bathroom vanity,sink,cup,toothbrush,soap,mirror,towel holder,towel,window,shelf,bathroom utensil,toilet,,,,,,,
121,toilet,cabinet,mirror,shower,,,,,,,,,,,,,,,,,,
122,sink,cabinet,mirror,rug,toilet,shower,shower screen,bathtub,shampoo bottle,,,,,,,,,,,,,
123,toilet,shower,shower curtain,window,bathroom vanity,sink,rug,,,,,,,,,,,,,,,
124,vase,plant,bathroom vanity,sink,mirror,soap,rug,bathtub,shower curtain,toilet,picture,washing machine,,,,,,,,,,
125,bathtub,lamp,sink,rug,toilet,,,,,,,,,,,,,,,,,
126,lamp,shower,shower screen,plant,mirror,sink,rug,bathtub,cabinet,washing machine,,,,,,,,,,,,
127,toilet,toilet paper,window,bathroom vanity,sink,cup,toothbrush,mirror,door,shower,,,,,,,,,,,,
128,towel holder,towel,shower,shower screen,shampoo bottle,rug,sink,cup,toothbrush,shelf,bathroom utensil,toilet,,,,,,,,,,
129,sink,cup,toothbrush,soap,mirror,shower,shower curtain,window,lamp,toilet,rug,cabinet,shelf,bathroom utensil,,,,,,,,
130,sink,mirror,towel holder,towel,toilet,bathtub,bag,washing machine,cup,detergent,,,,,,,,,,,,
131,toilet,toilet brush,cabinet,bathtub,window,curtain,rug,sink,shower,,,,,,,,,,,,,
132,toilet,toilet paper,bathroom vanity,cabinet,sink,mirror,window,curtain,vase,flower,shower,shower screen,shampoo bottle,,,,,,,,,
133,laundry basket,washing machine,towel holder,towel,shower,shower screen,shampoo bottle,rug,sink,mirror,toilet,bin,toilet paper,,,,,,,,,
134,water boiler,shower,shower screen,rug,sink,mirror,cabinet,shelf,toilet paper,toilet,,,,,,,,,,,,
135,toilet,towel,shower,rug,sink,soap,plant,mirror,,,,,,,,,,,,,,
136,mirror,sink,shelf,bathtub,shower,toilet,cabinet,,,,,,,,,,,,,,,
