id,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14,object_15,object_16,object_17,object_18,object_19,object_20,object_21,object_22,object_23,object_24
102,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,extractor hood
103,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,chair,door,shelf,counter,,,,,,,,,,,,
104,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,shelf,microwave,,,,,
105,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,stove,extractor hood,,
106,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,shelf,stove,extractor hood,,,
107,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,shelf,kitchen utensil,stove,extractor hood,,
108,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,stove,extractor hood,,
110,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,shelf,kitchen utensil,plant,stove,,,,,
111,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,stove,,,
112,cabinet,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,microwave,shelf,,,,,,,
113,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,extractor hood,,
114,cabinet,glass door,shelf,fridge,kitchenette,sink,chair,door,counter,oven,microwave,shelf,,,,,,,,,,,,
115,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,shelf,stove,,,,
116,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,stove,,
117,cabinet,glass door,shelf,fridge,kitchenette,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,shelf,,,,,,,
118,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,stove,,,
119,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,extractor hood,
120,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,,
121,cabinet,glass door,shelf,kitchenette,chair,lamp,counter,oven,shelf,,,,,,,,,,,,,,,
122,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,chair,door,counter,oven,microwave,shelf,stove,extractor hood,,,,,,,,,
123,cabinet,fridge,kitchenette,sink,bowl,fruit,plant,chair,lamp,door,counter,oven,microwave,stove,,,,,,,,,,
124,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,plant,stove,extractor hood,
125,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,stove,,,,,,,
126,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,chair,door,counter,oven,microwave,shelf,,,,,,,,,,,
127,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,plant,stove,,
128,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,shelf,kitchen utensil,plant,,,
129,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,extractor hood,
130,cabinet,glass door,basket,shelf,kitchenette,sink,bowl,fruit,plate,vegetable,vase,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,plant,,,,
131,cabinet,glass door,basket,shelf,kitchenette,sink,bowl,fruit,plate,vase,chair,lamp,door,counter,oven,microwave,,,,,,,,
132,cabinet,fridge,kitchenette,sink,chair,lamp,door,counter,oven,microwave,shelf,stove,,,,,,,,,,,,
133,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,
134,cabinet,glass door,shelf,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,stove,,,,
135,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,,,,,,,,,,
136,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,plant,chair,door,counter,oven,microwave,shelf,stove,,,,,
