id,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14,object_15,object_16,object_17,object_18,object_19,object_20,object_21
102,washing machine,fridge,cleaning utensil,cabinet,counter,plate,cup,stove,extractor hood,oven,microwave,dishwasher,window,trash bin,table,dish,chair,,,,
103,door,counter,cabinet,sink,kitchenette,stove,oven,,,,,,,,,,,,,,
104,window,sun,washing machine,cabinet,glass,extractor hood,stove,pot,rug,,,,,,,,,,,,
105,stove,dishwasher,oven,cabinet,sink,fridge,table,chair,,,,,,,,,,,,,
106,stove,oven,cabinet,cup,sink,fridge,door,table,chair,sink,trash bin,,,,,,,,,,
107,fridge,cabinet,stove,oven,sink,table,chair,bowl,fruit,plate,,,,,,,,,,,
108,shelf,cabinet,fridge,stove,oven,toaster,sink,drainer,washing machine,,,,,,,,,,,,
110,cabinet,window,curtain,sink,drainer,shelf,bowl,plate,stove,oven,extractor hood,fridge,rug,table,bowl,fruit,chair,,,,
111,cabinet,sink,bowl,fruit,shelf,plate,lamp,washing machine,vase,fridge,table,chair,plate,,,,,,,,
112,fridge,shelf,plate,decoration,stove,sink,window,lamp,light switch,table,chair,plate,cutlery,,,,,,,,
113,cabinet,sink,stove,oven,extractor hood,fridge,table,door,,,,,,,,,,,,,
114,fridge,stove,oven,cabinet,sink,window,table,flower,rug,,,,,,,,,,,,
115,door,fridge,cabinet,stove,oven,sink,microwave,table,chair,,,,,,,,,,,,
116,window,counter,cabinet,cutting board,knife,fruit,sink,stove,shelf,plate,kitchen utensil,clock,microwave,blender,fridge,table,bottle,glass,,,
117,sink,trash bin,counter,stove,extractor hood,oven,washing machine,shelf,table,chair,bowl,fruit,,,,,,,,,
118,counter,sink,window,plate,vase,flower,table,chair,plate,cutlery,fridge,,,,,,,,,,
119,window,sink,drainer,dish,soap,dishwasher,cabinet,fridge,counter,blender,toaster,stove,towel holder,towel,TV,table,chair,plate,cutlery,glass,bottle
120,door,shelf,cup,kitchen utensil,light,counter,stove,extractor hood,oven,sink,drainer,knife,cabinet,bowl,fruit,table,chair,plate,,,
121,stove,pan,ladle,sink,,,,,,,,,,,,,,,,,
122,cabinet,counter,stove,oven,sink,drainer,dishwasher,table,chair,,,,,,,,,,,,
123,table,plate,wine glass,counter,sink,stove,cabinet,window,bowl,fruit,,,,,,,,,,,
124,table,chair,bowl,fruit,picture,heater,window,curtain,rug,fridge,counter,sink,drainer,stove,cabinet,,,,,,
125,fridge,table,chair,lamp,counter,cabinet,sink,stove,oven,,,,,,,,,,,,
126,plant,fridge,counter,cabinet,oven,ladle,rug,table,plate,chair,,,,,,,,,,,
127,fridge,window,curtain,counter,knife,light,stove,pot,extractor hood,door,kitchenette,sink,,,,,,,,,
128,table,chair,tablecloth,counter,cabinet,sink,window,curtain,drainer,dishwasher,stove,pot,ladle,kitchen utensil,washing machine,fridge,rug,,,,
129,microwave,counter,cabinet,stove,extractor hood,oven,oil bottle,jar,pot,sink,teapot,sugar container,window,trash bin,fridge,,,,,,
130,table,blender,outlet,stove,counter,cabinet,cup,plate,sink,,,,,,,,,,,,
131,counter,cabinet,stove,extractor hood,oven,sink,spice shelf,shelf,plate,cup,kitchen utensil,table,chair,cup,window,,,,,,
132,counter,washing machine,cabinet,sink,window,curtain,vase,flower,stove,dishwasher,oven,fridge,,,,,,,,,
133,counter,cabinet,coffee machine,glass,plate,sink,soap,kitchen utensil,spice,stove,oven,window,blind,picture,table,chair,water bottle,glass,,,
134,shelf,plate,cutlery,kitchen utensil,stove,sink,counter,cabinet,washing machine,,,,,,,,,,,,
135,counter,cabinet,stove,oven,sink,fridge,table,chair,vase,flower,bowl,,,,,,,,,,
136,fridge,counter,coffee machine,cup,cabinet,stove,extractor hood,oven,sink,towel holder,kitchen towel,,,,,,,,,,
