image,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14,object_15,object_16,object_17,object_18,object_19,object_20,object_21,object_22,object_23,object_24
102_bath,door,towel holder,bathtub,sink,soap,cabinet,mirror,paper towel,toilet paper,bin,window,toilet,chair,shower,shower screen,rug,toilet brush,,,,,,,
102_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,,,,,
102_kitch,washing machine,fridge,cleaning utensil,cabinet,counter,plate,cup,stove,extractor hood,oven,microwave,dishwasher,window,trash bin,table,dish,chair,,,,,,,
102_kitch_copy,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,extractor hood
103_bath,shower,shower screen,rug,door,sink,toilet,rug,,,,,,,,,,,,,,,,,
103_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,plant,,,,,,,,
103_kitch,door,counter,cabinet,sink,kitchenette,stove,oven,,,,,,,,,,,,,,,,,
103_kitch_copy,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,chair,door,shelf,counter,,,,,,,,,,,,
104_bath,toilet paper,toilet,flower,window,sink,mirror,soap,towel,rug,,,,,,,,,,,,,,,
104_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,,,,,
104_kitch,window,sun,washing machine,cabinet,glass,extractor hood,stove,pot,rug,,,,,,,,,,,,,,,
104_kitch_copy,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,shelf,microwave,,,,,
105_bath,bathroom vanity,sink,window,toilet paper,toilet,rug,bathtub,shower screen,,,,,,,,,,,,,,,,
105_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,,,,,
105_kitch,stove,dishwasher,oven,cabinet,sink,fridge,table,chair,,,,,,,,,,,,,,,,
105_kitch_copy,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,stove,extractor hood,,
106_bath,toilet,fan,outlet,towel,sink,mirror,bathroom vanity,towel,rug,bathtub,shelf,shampoo bottle,soap,,,,,,,,,,,
106_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,,,,,
106_kitch,stove,oven,cabinet,cup,sink,fridge,door,table,chair,sink,trash bin,,,,,,,,,,,,,
106_kitch_copy,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,shelf,stove,extractor hood,,,
107_bath,sink,mirror,toilet,bathtub,shower screen,laundry basket,washing machine,,,,,,,,,,,,,,,,,
107_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,,,,,
107_kitch,fridge,cabinet,stove,oven,sink,table,chair,bowl,fruit,plate,,,,,,,,,,,,,,
107_kitch_copy,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,shelf,kitchen utensil,stove,extractor hood,,
108_bath,sink,mirror,shower,shower screen,bathtub,rug,towel,toilet,,,,,,,,,,,,,,,,
108_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,,,,,
108_kitch,shelf,cabinet,fridge,stove,oven,toaster,sink,drainer,washing machine,,,,,,,,,,,,,,,
108_kitch_copy,cabinet,glass door,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,stove,extractor hood,,
110_bath,bin,toilet,heater,towel,bathroom vanity,sink,rug,soap,mirror,shower,shower screen,window,,,,,,,,,,,,
110_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,,,,,
