t	gaze_point_LX	gaze_point_LY	gaze_point_RX	gaze_point_RY	pupil_diameter_L	pupil_diameter_R
854441774359	1324.02	665.21	1296.38	634.89	3.6696	3.5195
854441782692	1329.11	658.85	1297.02	642.28	3.6740	3.5261
854441791025	1307.54	683.72	1260.12	711.35	3.6759	3.5215
854441799358	1272.44	722.62	1242.81	731.13	3.6749	3.5185
854441807691	1277.14	728.36	1254.60	734.95	3.6726	3.5279
854441816025	1277.24	729.49	1256.19	735.14	3.6617	3.5121
854441824358	1277.49	723.21	1251.22	728.81	3.6453	3.5050
854441832698	1278.42	720.94	1250.74	733.44	3.6445	3.5102
854441841032	1278.76	718.39	1251.99	724.12	3.6437	3.5032
854441849365	1277.90	713.46	1250.68	718.31	3.6405	3.5039
854441857698	1280.54	715.45	1252.49	709.78	3.6396	3.5018
854441866031	1284.77	715.68	1243.81	716.01	3.6404	3.4974
854441874364	1279.84	713.66	1251.07	714.92	3.6373	3.4913
854441882698	1282.25	710.53	1247.52	718.08	3.6432	3.4877
854441891031	1278.00	704.14	1247.58	718.63	3.6332	3.4833
854441899364	1275.10	701.91	1251.69	720.31	3.6333	3.4858
854441907698	1276.13	697.92	1251.35	713.47	3.6222	3.4789
854441916031	1284.38	735.97	1249.97	711.10	3.6520	3.4854
854441924364	1276.35	734.26	1246.29	705.56	3.6520	3.4824
854441932696	1278.02	734.74	1243.69	714.73	3.6564	3.4756
854441941030	1279.45	739.64	1244.12	724.40	3.6606	3.4811
854441949363	1278.48	733.03	1242.39	729.73	3.6487	3.4834
854441957696	1279.19	731.84	1247.89	736.65	3.6554	3.4821
854441966034	1279.99	712.20	1248.17	745.55	3.6277	3.4816
854441974367	1280.58	724.26	1246.34	739.66	3.6481	3.4786
854441982700	1278.94	724.98	1247.17	742.07	3.6455	3.4886
854441991034	1285.67	732.52	1248.29	746.21	3.6523	3.4965
854441999367	1285.95	725.30	1245.17	742.54	3.6414	3.4918
854442007700	1287.51	724.12	1247.56	746.71	3.6492	3.4993
854442016033	1295.08	720.05	1237.94	737.24	3.6462	3.5004
854442024366	1294.60	715.54	1241.57	734.44	3.6582	3.5108
854442032699	1297.80	707.85	1237.65	733.08	3.6615	3.5021
854442041033	1293.41	707.15	1238.23	727.39	3.6698	3.5093
854442049366	1300.74	709.85	1237.17	722.96	3.6797	3.5133
854442057699	1298.07	708.05	1240.47	726.13	3.6766	3.5244
854442066033	1300.52	705.51	1239.42	724.50	3.6849	3.5307
854442074366	1300.57	707.93	1240.20	725.28	3.7022	3.5392
854442082699	1300.02	705.43	1235.25	728.00	3.6947	3.5421
854442091032	1304.03	708.46	1232.58	726.37	3.6975	3.5479
854442099370	1302.66	711.18	1235.42	726.83	3.7071	3.5483
854442107703	1298.17	711.76	1235.58	731.24	3.7073	3.5573
854442116037	1302.92	713.85	1237.25	735.97	3.7162	3.5674
854442124370	1297.38	717.61	1238.55	729.98	3.7280	3.5642
854442132703	1300.67	711.12	1243.83	730.13	3.7208	3.5647
854442141037	1302.02	722.43	1237.41	742.69	3.7130	3.5729
854442149370	1300.98	726.58	1237.54	743.22	3.7239	3.5806
854442157703	1300.45	729.73	1234.86	743.98	3.7403	3.5860
854442166037	1299.24	727.44	1234.11	740.86	3.7334	3.5899
854442174369	1301.10	731.31	1233.36	737.23	3.7430	3.5968
854442182702	1301.88	735.63	1230.36	732.27	3.7439	3.5883
854442191036	1300.26	722.36	1237.73	736.45	3.7407	3.6018
854442199369	1297.98	725.10	1235.43	727.97	3.7515	3.5943
854442207702	1294.81	721.46	1233.43	727.52	3.7434	3.5978
854442216036	1291.92	718.08	1238.20	732.43	3.7471	3.6143
854442224372	1292.96	721.43	1234.77	735.09	3.7630	3.6228
854442232705	1296.05	725.57	1234.39	723.80	3.7661	3.6165
854442241039	1295.87	719.89	1239.09	734.01	3.7653	3.6357
854442249371	1294.63	720.53	1235.54	730.36	3.7653	3.6202
