t	gaze_point_LX	gaze_point_LY	gaze_point_RX	gaze_point_RY	pupil_diameter_L	pupil_diameter_R
854473864600	1481.75	786.15	1507.15	778.43	3.8069	4.1008
854473872934	1462.79	775.94	1496.14	779.98	3.7987	4.1202
854473881267	1392.56	752.79	1429.91	744.42	3.7973	4.1206
854473889601	1356.28	740.61	1382.40	743.66	3.7864	4.1009
854473897934	1337.84	732.02	1347.28	733.16	3.7472	4.0977
854473906267	1297.09	729.31	1312.49	737.25	3.7724	4.1098
854473914600	1316.90	721.68	1330.76	732.32	3.7564	4.1183
854473922939	1315.61	714.65	1327.13	730.19	3.7722	4.1041
854473931273	1305.75	712.31	1324.49	729.23	3.7301	4.0839
854473939604	1309.05	709.19	1325.02	725.76	3.7464	4.0980
854473947938	1308.40	713.35	1321.01	726.75	3.7540	4.0917
854473956271	1307.58	706.07	1319.85	726.94	3.7340	4.1083
854473964604	1304.10	717.65	1323.39	726.64	3.7507	4.0858
854473972938	1309.33	713.83	1317.66	730.57	3.7585	4.0926
854473981271	1298.25	718.14	1321.70	722.03	3.7754	4.0817
854473989604	1303.53	716.05	1316.12	724.27	3.7537	4.0865
854473997938	1303.17	717.04	1320.13	736.39	3.7621	4.1142
854474006271	1302.80	715.13	1320.90	731.41	3.7523	4.0955
854474014604	1304.48	710.81	1314.90	727.11	3.7276	4.0957
854474022937	1302.31	723.94	1314.43	730.82	3.7698	4.0912
854474031270	1303.92	722.68	1317.51	732.21	3.7506	4.0997
854474039603	1300.05	721.90	1316.31	729.27	3.7664	4.0981
854474047942	1297.31	725.14	1314.21	725.04	3.7803	4.0874
854474056275	1298.51	710.16	1316.02	729.58	3.7579	4.0905
854474064608	1301.00	711.39	1315.91	725.20	3.7553	4.0979
854474072942	1301.62	717.46	1316.10	734.08	3.7717	4.0971
854474081275	1296.05	715.72	1317.17	726.88	3.7751	4.0940
854474089609	1296.78	718.45	1320.76	733.10	3.7768	4.1052
854474097941	1295.94	712.45	1317.44	728.67	3.7709	4.1021
854474106274	1297.00	706.20	1320.29	727.79	3.7550	4.1012
854474114607	1299.59	707.27	1316.34	726.69	3.7873	4.1010
854474122941	1298.83	708.83	1315.46	726.24	3.7866	4.1066
854474131274	1299.67	720.35	1314.46	725.53	3.7995	4.0821
854474139608	1302.75	716.19	1317.80	727.94	3.8070	4.1178
854474147941	1299.71	714.71	1317.21	723.08	3.8076	4.1143
854474156274	1299.44	716.36	1313.18	723.03	3.8163	4.1120
854474164607	1299.06	712.89	1318.10	727.38	3.8080	4.1337
854474172940	1291.83	701.23	1315.67	729.95	3.7857	4.1432
854474181278	1297.39	705.71	1313.60	721.22	3.8103	4.1177
854474189611	1294.20	713.15	1314.91	718.77	3.8441	4.1474
854474197945	1300.53	711.30	1317.21	722.32	3.8366	4.1512
854474206278	1295.42	701.51	1314.98	725.44	3.8139	4.1570
854474214612	1299.33	714.68	1319.46	724.38	3.8371	4.1481
854474222945	1298.57	713.06	1311.87	723.84	3.8372	4.1583
854474231278	1297.18	711.48	1314.08	725.83	3.8372	4.1690
854474239611	1297.29	728.50	1315.69	723.37	3.8517	4.1670
854474247943	1303.28	732.93	1318.15	721.07	3.8755	4.1828
854474256277	1294.58	728.86	1317.51	719.24	3.8706	4.1917
854474264611	1300.06	735.41	1313.39	723.49	3.8993	4.1898
854474272943	1305.31	728.05	1314.71	725.59	3.8744	4.2205
854474281277	1297.30	736.31	1311.17	725.39	3.9115	4.2113
854474289610	1296.65	721.96	1309.36	723.78	3.8963	4.2176
854474297944	1296.22	716.99	1311.67	722.88	3.8885	4.2105
854474306277	1296.97	710.81	1314.91	731.03	3.9081	4.2251
854474314615	1294.58	716.29	1309.15	723.23	3.9372	4.2217
854474322947	1295.26	711.32	1314.64	719.98	3.9111	4.2184
854474331280	1293.33	706.40	1309.80	721.94	3.9297	4.2429
854474339614	1289.96	699.27	1312.55	723.64	3.9150	4.2439
854474347947	1294.48	704.99	1313.42	726.20	3.9277	4.2445
854474356280	1292.94	715.99	1312.59	722.40	3.9413	4.2490
854474364613	1295.18	716.89	1304.61	725.15	3.9465	4.2595
854474372946	1300.71	725.66	1312.39	729.05	3.9438	4.2845
854474381280	1296.41	726.29	1313.74	718.71	3.9471	4.2972
854474389614	1293.06	733.53	1313.75	717.75	3.9471	4.2743
854474397947	1293.95	733.92	1314.15	721.45	3.9592	4.2974
854474406279	1298.02	734.13	1313.64	716.93	3.9697	4.2946
854474414612	1301.55	727.57	1311.76	719.23	3.9664	4.3052
854474422946	1300.30	725.81	1312.93	726.03	3.9594	4.3231
854474431279	1296.30	724.18	1308.94	721.99	3.9816	4.3085
854474439616	1291.97	716.14	1306.44	724.28	3.9878	4.3267
854474447949	1290.40	714.07	1309.87	727.82	4.0091	4.3201
854474456283	1291.77	704.53	1311.89	725.19	3.9990	4.3183
854474464617	1296.43	702.72	1306.46	721.14	3.9989	4.3134
854474472950	1291.67	709.76	1310.77	727.49	4.0065	4.3372
854474481283	1292.84	715.84	1307.23	723.52	4.0209	4.3380
854474489616	1290.08	700.23	1307.79	729.34	3.9986	4.3402
854474497949	1294.87	708.95	1310.60	734.55	3.9984	4.3420
854474506283	1297.58	721.54	1307.96	724.50	4.0079	4.3248
854474514617	1293.44	721.62	1302.68	728.86	3.9935	4.3391
854474522950	1293.31	737.78	1301.57	726.82	4.0144	4.3353
854474531283	1292.06	727.13	1308.94	735.45	3.9985	4.3533
854474539616	1295.80	715.35	1306.50	726.81	4.0154	4.3284
854474547950	1315.15	766.14	1301.95	716.68	3.9222	4.3567
854474556282	1333.55	942.00	1296.16	757.11	3.6461	4.2343
854474564615	1224.60	1206.48	1289.84	869.29	2.2657	4.0542
854474572953	NaN	NaN	1293.81	1089.35	NaN	3.5566
854474581287	NaN	NaN	1256.01	1284.38	NaN	2.4559
854474589620	NaN	NaN	NaN	NaN	NaN	NaN
854474597954	NaN	NaN	NaN	NaN	NaN	NaN
854474606287	NaN	NaN	NaN	NaN	NaN	NaN
854474614620	NaN	NaN	NaN	NaN	NaN	NaN
854474622954	NaN	NaN	NaN	NaN	NaN	NaN
854474631285	NaN	NaN	NaN	NaN	NaN	NaN
854474639619	NaN	NaN	NaN	NaN	NaN	NaN
854474647953	NaN	NaN	NaN	NaN	NaN	NaN
854474656286	NaN	NaN	NaN	NaN	NaN	NaN
854474664619	NaN	NaN	NaN	NaN	NaN	NaN
854474672953	NaN	NaN	NaN	NaN	NaN	NaN
854474681286	NaN	NaN	1506.91	1282.89	NaN	2.1607
854474689619	NaN	NaN	NaN	NaN	NaN	NaN
854474697953	NaN	NaN	NaN	NaN	NaN	NaN
854474706289	NaN	NaN	NaN	NaN	NaN	NaN
854474714622	NaN	NaN	1065.89	1089.13	NaN	2.9366
854474722955	NaN	NaN	1310.29	967.15	NaN	3.6444
854474731289	NaN	NaN	1311.01	869.57	NaN	3.8413
854474739622	1174.19	1035.42	1300.62	767.62	2.9441	3.9972
854474747956	1295.92	920.41	1310.28	708.91	3.4525	4.0731
854474756289	1298.50	843.11	1315.18	675.01	3.5518	4.1236
854474764622	1297.66	784.85	1313.87	692.65	3.6606	4.1130
854474772955	1292.16	738.21	1314.17	707.96	3.6872	4.0904
854474781289	1291.70	703.60	1310.89	712.98	3.7379	4.0778
854474789621	1296.16	696.55	1311.86	709.93	3.8025	4.0890
854474797955	1298.78	687.49	1319.78	714.11	3.7747	4.0981
854474806288	1293.00	702.60	1314.23	713.74	3.7532	4.0939
854474814621	1295.81	716.18	1319.71	710.27	3.7512	4.0792
854474822954	1291.19	716.05	1316.24	707.32	3.7319	4.0798
854474831288	1290.56	732.97	1312.13	725.07	3.7490	4.0792
854474839627	1291.86	726.70	1317.84	726.33	3.7174	4.0951
854474847960	1297.75	732.12	1315.45	717.64	3.7392	4.0570
854474856293	1292.83	723.61	1317.02	737.94	3.7329	4.0810
854474864626	1296.45	719.53	1315.88	727.70	3.7186	4.0633
854474872959	1295.51	736.24	1318.41	732.29	3.7368	4.0689
854474881293	1299.81	733.07	1318.69	726.12	3.7254	4.0620
854474889626	1296.92	723.61	1311.53	729.21	3.7224	4.0762
854474897959	1293.80	733.44	1317.06	723.70	3.7288	4.0554
854474906292	1298.01	728.70	1314.19	724.82	3.7210	4.0557
854474914626	1298.77	738.06	1314.78	721.30	3.7169	4.0498
854474922959	1291.74	740.01	1311.86	718.11	3.7422	4.0643
854474931292	1296.45	726.36	1309.22	723.25	3.7051	4.0680
854474939626	1296.73	729.09	1312.01	716.62	3.7123	4.0342
854474947959	1299.15	729.31	1310.18	725.59	3.7129	4.0533
854474956291	1291.70	729.00	1313.59	723.24	3.7033	4.0662
854474964625	1293.65	734.00	1313.83	729.48	3.7322	4.0498
854474972963	1289.14	740.28	1308.54	729.09	3.7294	4.0518
854474981297	1296.00	733.51	1304.65	730.82	3.7235	4.0515
854474989630	1293.12	723.14	1306.60	724.92	3.7046	4.0509
854474997964	1291.64	726.68	1306.55	718.71	3.7293	4.0351
854475006296	1290.14	729.37	1310.00	726.38	3.7169	4.0608
854475014630	1296.50	724.69	1309.60	726.78	3.7252	4.0656
854475022963	1288.12	725.18	1310.60	729.75	3.7217	4.0758
854475031296	1278.20	732.51	1293.46	730.28	3.7181	4.0662
854475039629	1222.93	748.60	1231.18	744.93	3.7242	4.0617
854475047962	1222.49	743.25	1242.36	756.49	3.7417	4.0783
854475056296	1241.50	745.09	1251.41	749.54	3.7656	4.0840
854475064629	1237.08	758.64	1250.86	744.90	3.7551	4.0743
854475072962	1230.20	745.02	1238.76	753.25	3.7496	4.0940
854475081296	1229.00	743.58	1243.53	750.60	3.7268	4.0961
854475089629	1227.92	753.14	1244.90	747.88	3.7637	4.1002
854475097967	1234.19	746.26	1237.18	744.66	3.7406	4.1027
854475106299	1236.82	739.53	1237.81	745.11	3.7319	4.0897
854475114633	1237.41	744.87	1238.34	748.68	3.7713	4.1060
854475122966	1235.32	744.02	1227.92	741.88	3.7435	4.0941
854475131300	1236.85	743.09	1235.20	750.19	3.7534	4.1089
854475139633	1236.40	734.22	1233.13	745.25	3.7399	4.1100
854475147966	1239.07	738.10	1215.60	771.69	3.7423	4.0596
854475156299	1236.67	739.11	1235.86	742.62	3.7535	4.1066
854475164633	1232.45	743.32	1233.83	739.73	3.7446	4.0886
854475172966	1241.48	739.64	1231.22	746.94	3.7446	4.1065
854475181299	1237.34	745.39	1234.80	750.10	3.7562	4.1202
854475189632	1234.48	740.34	1236.85	750.00	3.7418	4.1064
854475197965	1230.43	732.56	1230.96	747.78	3.7459	4.1134
854475206298	1234.96	740.31	1233.75	753.79	3.7521	4.1227
854475214632	1226.88	736.67	1236.51	747.44	3.7501	4.1050
854475222965	1226.38	748.83	1234.44	750.20	3.7604	4.1119
854475231303	1225.41	743.63	1232.71	749.28	3.7574	4.0980
854475239636	1230.01	742.35	1234.61	750.43	3.7733	4.1062
854475247969	1228.91	746.66	1228.38	751.42	3.7657	4.1106
854475256302	1229.20	738.38	1232.08	760.05	3.7542	4.1195
854475264635	1229.34	730.39	1231.98	745.32	3.7339	4.1111
854475272968	1233.59	733.91	1234.25	745.45	3.7464	4.1115
854475281302	1232.54	730.99	1233.06	748.64	3.7393	4.0984
854475289635	1231.65	732.10	1229.78	748.67	3.7347	4.1044
854475297968	1231.77	746.42	1233.11	748.92	3.7635	4.0873
854475306302	1236.27	744.27	1233.81	748.70	3.7502	4.1142
854475314634	1238.02	739.41	1227.33	743.01	3.7346	4.0966
854475322968	1236.06	746.76	1233.40	741.97	3.7592	4.0882
854475331302	1231.98	747.94	1229.18	741.72	3.7499	4.0924
854475339634	1231.51	747.76	1229.87	746.02	3.7577	4.0930
854475347967	1224.53	733.01	1228.25	737.55	3.7786	4.1091
854475356300	1225.01	724.53	1228.97	732.69	3.7698	4.1030
854475364639	1229.14	727.07	1228.52	739.82	3.7654	4.1059
854475372972	1226.39	728.55	1223.86	742.86	3.7572	4.1117
854475381305	1228.14	733.85	1227.20	736.59	3.7778	4.1053
854475389639	1228.11	733.51	1227.48	735.53	3.7798	4.1179
854475397972	1228.55	726.66	1225.69	728.40	3.7565	4.0906
854475406305	1230.51	736.24	1226.69	730.21	3.7658	4.0898
854475414638	1228.30	733.48	1228.25	736.76	3.7765	4.1048
854475422971	1223.61	740.08	1226.23	737.26	3.7726	4.1139
854475431304	1224.99	733.97	1225.20	733.11	3.7717	4.1022
854475439637	1220.83	742.21	1226.79	740.34	3.7986	4.1129
854475447971	1224.02	732.88	1225.42	736.84	3.7577	4.1141
854475456305	1225.34	737.47	1227.77	733.98	3.7866	4.1120
854475464638	1225.21	725.31	1226.98	740.94	3.7561	4.1152
854475472971	1224.03	728.48	1223.13	731.95	3.7775	4.0903
854475481305	1223.69	734.14	1229.14	739.44	3.7798	4.1104
854475489641	1221.96	743.05	1219.81	737.43	3.8109	4.1041
854475497974	1226.32	733.84	1223.55	733.65	3.7861	4.1057
854475506308	1220.70	727.64	1218.76	739.06	3.7803	4.1151
854475514640	1224.20	743.77	1232.12	729.32	3.8024	4.0967
854475522974	1222.73	732.68	1222.32	741.12	3.7766	4.1141
854475531307	1223.87	722.81	1219.66	737.32	3.7689	4.1087
854475539641	1225.49	745.84	1222.61	736.20	3.8202	4.0894
854475547974	1224.38	732.89	1227.43	734.74	3.7719	4.0992
854475556307	1223.98	746.21	1236.41	739.01	3.8046	4.1245
854475564641	1220.98	738.83	1222.51	739.59	3.7881	4.1095
854475572973	1222.50	739.27	1230.50	736.84	3.7792	4.1171
854475581306	1229.13	733.83	1220.91	739.76	3.7797	4.1052
854475589640	1223.13	742.06	1220.75	740.27	3.7906	4.1087
854475597973	1225.90	736.12	1215.32	737.60	3.7834	4.0934
854475606306	1221.96	740.93	1219.41	737.81	3.8035	4.0855
854475614640	1222.28	742.93	1218.74	739.56	3.8050	4.1077
854475622978	1220.70	734.30	1219.52	735.24	3.7860	4.1028
854475631311	1222.55	723.93	1219.02	735.31	3.7661	4.0955
854475639644	1218.56	732.20	1224.66	740.29	3.7596	4.0874
854475647977	1217.85	739.92	1227.25	740.09	3.7679	4.0871
854475656310	1219.85	729.45	1220.79	740.34	3.7394	4.0925
854475664644	1217.80	733.41	1230.30	742.08	3.7541	4.0728
854475672977	1215.52	748.89	1223.71	748.03	3.7883	4.0961
854475681310	1219.54	736.23	1231.78	745.25	3.7536	4.0940
854475689644	1217.71	743.26	1226.33	739.40	3.7780	4.0872
854475697977	1220.10	738.54	1227.24	746.42	3.7608	4.0758
854475706310	1178.88	742.87	1206.39	740.29	3.7713	4.0832
854475714643	1116.45	743.99	1141.56	738.22	3.7833	4.0788
854475722977	1121.52	738.43	1138.94	746.37	3.7631	4.0743
854475731309	1135.88	731.25	1145.11	740.52	3.7568	4.0932
854475739643	1126.16	733.12	1145.17	745.33	3.7452	4.0955
854475747976	1129.08	738.37	1143.84	745.85	3.7605	4.0924
854475756315	1119.81	747.03	1140.14	741.18	3.7701	4.0786
854475764649	1124.28	741.63	1139.77	741.48	3.7588	4.0818
854475772982	1123.75	732.86	1139.07	733.35	3.7492	4.0696
854475781315	1129.35	756.04	1142.85	731.43	3.7935	4.0757
854475789649	1121.20	739.12	1137.40	736.88	3.7570	4.0769
854475797982	1122.55	748.47	1137.19	743.30	3.7936	4.0785
854475806314	1122.60	738.46	1133.57	742.10	3.7661	4.0893
854475814648	1123.35	738.60	1141.40	742.67	3.7593	4.0892
854475822981	1122.35	741.01	1136.17	742.60	3.7941	4.0843
854475831314	1121.16	735.66	1135.26	746.83	3.7764	4.1070
854475839647	1127.71	748.59	1142.73	739.92	3.7976	4.0789
854475847981	1128.51	741.71	1136.62	739.37	3.7950	4.0821
854475856314	1128.30	745.60	1140.77	750.58	3.8199	4.1047
854475864648	1126.23	742.31	1137.83	750.69	3.7944	4.0991
854475872981	1125.44	730.71	1144.08	748.05	3.7844	4.0984
854475881314	1124.68	735.25	1145.22	743.95	3.8029	4.0909
854475889651	1122.10	734.14	1139.15	733.80	3.8012	4.0789
854475897985	1127.69	742.53	1141.18	740.01	3.8108	4.0667
854475906318	1120.94	740.02	1142.64	739.53	3.7846	4.0947
854475914651	1121.93	734.15	1136.97	740.33	3.7916	4.0854
854475922984	1127.53	743.66	1134.60	744.91	3.8255	4.1092
854475931318	1129.58	751.88	1134.81	739.06	3.8469	4.0834
854475939652	1118.87	735.33	1137.59	738.03	3.8235	4.1053
854475947985	1128.14	740.49	1136.83	740.78	3.8321	4.0900
854475956318	1128.33	729.00	1135.36	736.44	3.8104	4.1094
854475964650	1126.85	729.23	1138.32	748.27	3.8296	4.1205
854475972983	1122.37	728.86	1138.02	749.88	3.8424	4.1212
854475981317	1124.97	727.07	1142.73	751.70	3.8224	4.1259
