Subject	RunNr	FixStart	FixEnd	FixDur	XPos	YPos	RMSxy	BCEA	FixRangeX	FixRangeY
sub-133_task-EyeTracking_physio	1	-3883.578	-3416.904	466.674	1295.088	737.195	0.075	0.067	0.335	0.470
sub-133_task-EyeTracking_physio	1	-3391.899	-3191.898	200.001	1753.193	771.070	0.551	1.197	3.246	0.627
sub-133_task-EyeTracking_physio	1	-3166.898	-2850.221	316.677	1327.207	727.210	0.182	0.132	0.771	0.629
sub-133_task-EyeTracking_physio	1	-2516.881	-2158.540	358.341	1366.745	735.315	0.248	0.461	1.350	1.715
sub-133_task-EyeTracking_physio	1	-2125.207	-1675.195	450.012	1285.512	734.145	0.222	0.070	0.318	0.620
sub-133_task-EyeTracking_physio	1	-1658.528	-1516.857	141.671	1317.080	709.830	0.141	0.075	0.400	0.424
sub-133_task-EyeTracking_physio	1	-1350.188	-650.167	700.021	1290.575	713.355	0.127	0.059	0.325	0.498
sub-133_task-EyeTracking_physio	1	-616.834	-508.497	108.337	1474.905	737.960	0.154	0.058	0.367	0.307
sub-133_task-EyeTracking_physio	1	-466.830	249.853	716.683	1279.555	694.838	0.103	0.060	0.293	0.548
sub-133_task-EyeTracking_physio	1	258.187	524.859	266.672	1274.805	722.908	0.106	0.078	0.288	0.549
sub-133_task-EyeTracking_physio	1	541.531	774.864	233.333	1299.865	792.885	0.105	0.072	0.285	0.493
sub-133_task-EyeTracking_physio	1	791.538	958.207	166.669	1295.253	879.717	0.155	0.037	0.162	0.559
sub-133_task-EyeTracking_physio	1	999.874	1099.876	100.002	1173.082	890.895	0.283	0.123	0.757	0.361
sub-133_task-EyeTracking_physio	1	1116.542	1224.882	108.340	1379.545	871.815	0.229	0.093	0.667	0.284
sub-133_task-EyeTracking_physio	1	1241.549	1441.549	200.000	1109.072	866.800	0.154	0.090	0.688	0.413
sub-133_task-EyeTracking_physio	1	1483.221	1658.224	175.003	1013.590	832.390	0.090	0.025	0.261	0.305
sub-133_task-EyeTracking_physio	1	1691.556	2024.900	333.344	971.040	578.575	0.107	0.040	0.434	0.424
sub-133_task-EyeTracking_physio	1	2041.567	2341.574	300.007	977.735	545.023	0.090	0.039	0.254	0.346
sub-133_task-EyeTracking_physio	1	2358.240	2558.248	200.008	952.628	582.175	0.133	0.055	0.489	0.301
sub-133_task-EyeTracking_physio	1	2633.251	2791.587	158.336	1356.120	664.280	0.171	0.088	0.560	0.412
sub-133_task-EyeTracking_physio	1	2816.587	3008.256	191.669	1663.745	750.705	0.137	0.091	0.447	0.502
sub-133_task-EyeTracking_physio	2	-795.038	-553.367	241.671	1256.175	734.225	0.126	0.032	0.512	0.197
sub-133_task-EyeTracking_physio	2	-520.035	-95.021	425.014	1306.895	724.435	0.065	0.011	0.187	0.236
sub-133_task-EyeTracking_physio	2	-70.021	304.989	375.010	1276.660	721.290	0.111	0.067	0.541	0.314
sub-133_task-EyeTracking_physio	2	338.321	529.990	191.669	1313.980	709.450	0.052	0.011	0.163	0.141
sub-133_task-EyeTracking_physio	2	554.993	796.663	241.670	1418.230	727.430	0.100	0.025	0.409	0.162
sub-133_task-EyeTracking_physio	2	821.667	1080.005	258.338	1517.695	816.215	0.115	0.034	0.286	0.384
sub-133_task-EyeTracking_physio	2	1105.005	1263.343	158.338	1502.140	912.040	0.088	0.037	0.161	0.417
sub-133_task-EyeTracking_physio	2	1280.009	1680.018	400.009	1443.760	913.588	0.115	0.136	0.633	0.557
sub-133_task-EyeTracking_physio	2	1696.685	2046.693	350.008	1118.125	782.352	0.169	0.135	0.681	0.530
sub-133_task-EyeTracking_physio	2	2071.693	2480.035	408.342	1118.665	723.640	0.076	0.029	0.259	0.428
sub-133_task-EyeTracking_physio	2	2513.373	2763.375	250.002	1132.390	668.388	0.058	0.037	0.251	0.282
sub-133_task-EyeTracking_physio	2	2796.713	3005.049	208.336	1192.230	643.545	0.043	0.007	0.108	0.154
sub-133_task-EyeTracking_physio	3	-331.168	-172.833	158.335	1342.190	687.815	0.136	0.038	0.441	0.302
sub-133_task-EyeTracking_physio	3	-147.833	343.845	491.678	1281.060	731.970	0.079	0.051	0.314	0.431
sub-133_task-EyeTracking_physio	3	360.512	593.852	233.340	1337.805	774.525	0.091	0.046	0.414	0.240
sub-133_task-EyeTracking_physio	3	610.519	877.190	266.671	1334.367	853.845	0.127	0.072	0.442	0.543
sub-133_task-EyeTracking_physio	3	902.189	1160.530	258.341	1414.600	902.785	0.121	0.033	0.376	0.424
sub-133_task-EyeTracking_physio	3	1210.534	1385.539	175.005	1522.565	888.510	0.079	0.021	0.199	0.156
sub-133_task-EyeTracking_physio	3	1393.872	1518.875	125.003	1544.170	679.550	0.666	2.504	1.691	2.604
sub-133_task-EyeTracking_physio	3	1643.878	1952.221	308.343	1460.760	678.275	0.083	0.026	0.235	0.355
sub-133_task-EyeTracking_physio	3	1977.222	2193.890	216.668	1401.930	633.190	0.163	0.112	0.348	0.513
sub-133_task-EyeTracking_physio	3	2252.226	2477.232	225.006	1069.800	647.410	0.088	0.025	0.314	0.219
sub-133_task-EyeTracking_physio	3	2518.901	2743.900	224.999	973.340	690.350	0.065	0.017	0.147	0.225
sub-133_task-EyeTracking_physio	3	2793.907	3010.576	216.669	968.397	761.045	0.100	0.023	0.328	0.312
sub-133_task-EyeTracking_physio	4	-2027.044	-1827.036	200.008	1304.110	758.972	0.090	0.039	0.565	0.216
sub-133_task-EyeTracking_physio	4	-1768.703	-1293.690	475.013	1339.895	727.975	0.081	0.024	0.228	0.333
sub-133_task-EyeTracking_physio	4	-1268.690	-1035.350	233.340	1289.750	753.947	0.090	0.020	0.233	0.274
sub-133_task-EyeTracking_physio	4	-1018.684	-752.010	266.674	1307.943	722.443	0.112	0.035	0.189	0.402
sub-133_task-EyeTracking_physio	4	-735.344	-468.670	266.674	1269.562	728.700	0.165	0.044	0.549	0.322
sub-133_task-EyeTracking_physio	4	-443.670	-168.666	275.004	1314.285	724.870	0.115	0.045	0.249	0.321
sub-133_task-EyeTracking_physio	4	-143.663	281.349	425.012	1266.745	710.530	0.093	0.058	0.292	0.495
sub-133_task-EyeTracking_physio	4	314.681	548.020	233.339	1294.415	670.832	0.075	0.016	0.223	0.197
sub-133_task-EyeTracking_physio	4	573.020	748.023	175.003	1419.395	666.085	0.109	0.070	0.318	0.453
sub-133_task-EyeTracking_physio	4	781.360	1039.702	258.342	1518.620	745.045	0.099	0.039	0.332	0.293
sub-133_task-EyeTracking_physio	4	1056.367	1281.369	225.002	1596.175	776.855	0.126	0.089	0.467	0.473
sub-133_task-EyeTracking_physio	4	1314.707	1598.045	283.338	1701.327	779.350	0.101	0.053	0.353	0.400
sub-133_task-EyeTracking_physio	4	1606.379	1706.383	100.004	1641.743	646.370	0.210	0.131	0.569	0.320
sub-133_task-EyeTracking_physio	4	1739.715	1948.048	208.333	1084.150	673.565	0.154	0.059	0.657	0.258
sub-133_task-EyeTracking_physio	4	1973.053	2181.390	208.337	999.265	699.990	0.076	0.046	0.227	0.434
sub-133_task-EyeTracking_physio	4	2206.391	2314.726	108.335	950.945	711.930	0.064	0.013	0.164	0.159
sub-133_task-EyeTracking_physio	4	2364.731	2631.403	266.672	1035.222	827.035	0.169	0.088	0.445	0.578
sub-133_task-EyeTracking_physio	4	2723.069	2964.742	241.673	1354.645	960.075	0.107	0.045	0.304	0.415
sub-133_task-EyeTracking_physio	5	-1964.483	-1056.127	908.356	1315.600	722.080	0.058	0.028	0.210	0.391
sub-133_task-EyeTracking_physio	5	-1039.461	-689.452	350.009	1288.580	728.163	0.127	0.036	0.545	0.251
sub-133_task-EyeTracking_physio	5	-664.452	-489.446	175.006	1340.685	702.730	0.100	0.036	0.232	0.369
sub-133_task-EyeTracking_physio	5	-456.112	293.907	750.019	1291.525	710.923	0.110	0.046	0.421	0.457
sub-133_task-EyeTracking_physio	5	310.573	602.245	291.672	1261.165	699.965	0.081	0.029	0.298	0.274
sub-133_task-EyeTracking_physio	5	668.911	893.919	225.008	1221.205	629.045	0.081	0.034	0.234	0.337
sub-133_task-EyeTracking_physio	5	918.918	1335.599	416.681	1195.275	588.925	0.068	0.036	0.240	0.382
sub-133_task-EyeTracking_physio	5	1360.599	1585.599	225.000	977.180	623.055	0.151	0.056	0.454	0.303
sub-133_task-EyeTracking_physio	5	1627.271	1860.612	233.341	913.785	679.840	0.085	0.037	0.198	0.414
sub-133_task-EyeTracking_physio	5	1885.612	2060.615	175.003	913.555	815.250	0.127	0.031	0.291	0.335
sub-133_task-EyeTracking_physio	5	2127.285	2393.955	266.670	1307.425	918.862	0.071	0.041	0.294	0.377
sub-133_task-EyeTracking_physio	5	2418.954	2743.962	325.008	1647.260	926.710	0.094	0.047	0.413	0.304
sub-133_task-EyeTracking_physio	5	2777.295	2985.635	208.340	1703.370	788.090	0.146	0.041	0.475	0.295
sub-133_task-EyeTracking_physio	6	-1484.882	-1234.876	250.006	1298.380	666.885	0.114	0.029	0.574	0.170
sub-133_task-EyeTracking_physio	6	-1218.210	-718.196	500.014	1336.575	701.510	0.108	0.054	0.243	0.684
sub-133_task-EyeTracking_physio	6	-676.530	-401.524	275.006	1282.340	727.345	0.079	0.021	0.177	0.260
sub-133_task-EyeTracking_physio	6	-376.521	-134.851	241.670	1328.105	717.605	0.103	0.027	0.182	0.349
sub-133_task-EyeTracking_physio	6	-109.846	365.162	475.008	1280.545	709.485	0.132	0.057	0.321	0.605
sub-133_task-EyeTracking_physio	6	381.829	548.502	166.673	1330.657	736.755	0.135	0.047	0.305	0.377
sub-133_task-EyeTracking_physio	6	565.168	831.842	266.674	1530.665	759.180	0.102	0.054	0.448	0.296
sub-133_task-EyeTracking_physio	6	856.841	1040.177	183.336	1616.540	762.438	0.078	0.019	0.214	0.193
sub-133_task-EyeTracking_physio	6	1081.849	1348.521	266.672	1689.068	711.885	0.068	0.027	0.304	0.207
sub-133_task-EyeTracking_physio	6	1365.187	1665.192	300.005	1672.392	641.847	0.091	0.034	0.265	0.357
sub-133_task-EyeTracking_physio	6	1706.857	1840.196	133.339	1599.653	721.520	0.065	0.014	0.176	0.205
sub-133_task-EyeTracking_physio	6	1915.199	2131.872	216.673	1304.503	719.910	0.172	0.078	0.772	0.298
sub-133_task-EyeTracking_physio	6	2181.872	2465.211	283.339	1140.005	704.803	0.052	0.022	0.259	0.220
sub-133_task-EyeTracking_physio	6	2490.211	2706.885	216.674	1131.100	760.130	0.090	0.037	0.241	0.458
sub-133_task-EyeTracking_physio	6	2723.550	2948.557	225.007	1147.245	813.795	0.131	0.087	0.451	0.528
sub-133_task-EyeTracking_physio	7	-1713.815	-1072.133	641.682	1319.190	736.080	0.101	0.034	0.275	0.507
sub-133_task-EyeTracking_physio	7	-930.464	-730.457	200.007	1270.112	748.263	0.132	0.039	0.245	0.366
sub-133_task-EyeTracking_physio	7	-705.458	-63.774	641.684	1314.950	718.800	0.104	0.043	0.353	0.555
sub-133_task-EyeTracking_physio	7	-38.775	469.569	508.344	1279.970	742.445	0.107	0.044	0.242	0.434
sub-133_task-EyeTracking_physio	7	477.902	694.578	216.676	1263.580	775.460	0.125	0.037	0.331	0.293
sub-133_task-EyeTracking_physio	7	719.578	969.583	250.005	1113.932	658.983	0.225	0.316	1.232	0.890
sub-133_task-EyeTracking_physio	7	1002.917	1286.257	283.340	1036.725	600.953	0.078	0.048	0.339	0.267
sub-133_task-EyeTracking_physio	7	1327.923	1477.931	150.008	961.242	630.825	0.062	0.014	0.126	0.206
sub-133_task-EyeTracking_physio	7	1494.598	1752.938	258.340	1104.090	634.465	0.169	0.085	0.784	0.296
sub-133_task-EyeTracking_physio	7	1786.271	1977.940	191.669	1245.190	663.600	0.108	0.035	0.418	0.273
sub-133_task-EyeTracking_physio	7	2002.943	2202.948	200.005	1465.450	660.658	0.189	0.091	0.740	0.418
sub-133_task-EyeTracking_physio	7	2294.617	2519.620	225.003	1599.340	765.835	0.064	0.013	0.168	0.197
sub-133_task-EyeTracking_physio	7	2569.625	2777.960	208.335	1648.450	850.035	0.065	0.008	0.144	0.157
sub-133_task-EyeTracking_physio	7	2827.965	3002.965	175.000	1493.645	916.630	0.067	0.019	0.284	0.216
sub-133_task-EyeTracking_physio	8	-224.891	-74.885	150.006	1255.372	777.072	0.132	0.047	0.366	0.304
sub-133_task-EyeTracking_physio	8	-49.886	283.457	333.343	1293.882	713.645	0.124	0.044	0.242	0.578
sub-133_task-EyeTracking_physio	8	300.123	575.129	275.006	1287.865	760.185	0.145	0.038	0.142	0.545
sub-133_task-EyeTracking_physio	8	591.800	925.140	333.340	1268.483	822.345	0.107	0.036	0.168	0.446
sub-133_task-EyeTracking_physio	8	941.807	1125.147	183.340	1365.880	823.040	0.159	0.036	0.555	0.180
sub-133_task-EyeTracking_physio	8	1150.148	1558.491	408.343	1539.090	778.710	0.104	0.061	0.670	0.344
sub-133_task-EyeTracking_physio	8	1600.157	1808.497	208.340	1325.575	693.305	0.117	0.052	0.394	0.337
sub-133_task-EyeTracking_physio	8	1833.497	2075.171	241.674	1114.315	638.425	0.184	0.085	0.671	0.492
sub-133_task-EyeTracking_physio	8	2091.838	2475.180	383.342	1048.010	636.820	0.180	0.060	0.855	0.266
sub-133_task-EyeTracking_physio	8	2491.847	2733.518	241.671	1061.630	752.305	0.135	0.050	0.195	0.629
sub-133_task-EyeTracking_physio	8	2758.518	3008.526	250.008	1090.235	814.750	0.123	0.045	0.254	0.583
sub-133_task-EyeTracking_physio	9	-1094.980	-603.304	491.676	1317.565	716.565	0.097	0.045	0.411	0.424
sub-133_task-EyeTracking_physio	9	-594.965	-319.960	275.005	1317.770	752.875	0.088	0.035	0.267	0.300
sub-133_task-EyeTracking_physio	9	-303.293	-86.625	216.668	1350.413	718.860	0.186	0.073	0.485	0.468
sub-133_task-EyeTracking_physio	9	-53.285	296.719	350.004	1300.658	719.467	0.099	0.065	0.271	0.483
sub-133_task-EyeTracking_physio	9	313.385	480.061	166.676	1353.047	756.135	0.125	0.052	0.376	0.347
sub-133_task-EyeTracking_physio	9	505.060	713.399	208.339	1520.430	820.345	0.164	0.083	0.657	0.439
sub-133_task-EyeTracking_physio	9	730.066	946.734	216.668	1607.047	814.173	0.149	0.075	0.524	0.429
sub-133_task-EyeTracking_physio	9	963.401	1196.741	233.340	1574.722	744.830	0.082	0.019	0.140	0.236
sub-133_task-EyeTracking_physio	9	1213.408	1396.749	183.341	1466.110	655.790	0.087	0.021	0.217	0.210
sub-133_task-EyeTracking_physio	9	1430.082	1646.754	216.672	1306.503	621.455	0.103	0.017	0.418	0.115
sub-133_task-EyeTracking_physio	9	1688.420	1963.426	275.006	1214.965	640.965	0.067	0.026	0.218	0.216
sub-133_task-EyeTracking_physio	9	1996.759	2263.431	266.672	1151.207	729.645	0.088	0.033	0.208	0.445
sub-133_task-EyeTracking_physio	9	2280.098	2630.108	350.010	1210.113	835.457	0.119	0.032	0.247	0.517
sub-133_task-EyeTracking_physio	9	2646.775	2896.782	250.007	1268.043	874.452	0.118	0.063	0.410	0.543
sub-133_task-EyeTracking_physio	10	-264.391	-89.389	175.002	1408.855	880.665	0.084	0.070	0.287	0.463
sub-133_task-EyeTracking_physio	10	-72.723	327.287	400.010	1310.842	746.192	0.165	0.086	0.372	0.620
sub-133_task-EyeTracking_physio	10	343.954	610.627	266.673	1330.457	782.320	0.144	0.054	0.230	0.489
sub-133_task-EyeTracking_physio	10	627.294	910.638	283.344	1410.213	826.980	0.211	0.156	0.652	0.672
