t	gaze_point_LX	gaze_point_LY	gaze_point_RX	gaze_point_RY	pupil_diameter_L	pupil_diameter_R
769076999934	1167.75	657.19	1133.20	716.18	3.6309	3.8954
769077008268	1173.14	676.49	1136.17	724.77	3.6519	3.9091
769077016601	1168.14	653.30	1133.21	709.94	3.6232	3.8866
769077024934	1163.31	651.99	1130.74	716.29	3.6364	3.9069
769077033268	1161.32	662.18	1132.93	720.82	3.6456	3.9032
769077041600	1172.78	680.55	1132.96	712.99	3.6739	3.8989
769077049934	1171.37	663.04	1135.17	715.07	3.6412	3.8967
769077058267	1165.01	641.20	1130.22	711.50	3.5921	3.8829
769077066600	1161.31	632.09	1130.98	714.55	3.5790	3.8744
769077074933	1182.90	678.14	1148.96	721.23	3.6475	3.8808
769077083267	1281.84	723.66	1218.44	733.26	3.6844	3.8938
769077091600	1295.91	701.47	1244.56	733.94	3.6396	3.8653
769077099933	1280.84	714.37	1234.64	739.28	3.6936	3.8681
769077108266	1278.39	684.87	1238.53	745.24	3.6397	3.8620
769077116600	1280.47	697.70	1235.59	742.22	3.6349	3.8631
769077124936	1292.03	722.21	1239.95	739.03	3.6903	3.8582
769077133270	1286.18	709.33	1242.35	746.47	3.6720	3.8736
769077141603	1278.57	722.08	1238.05	747.77	3.7102	3.8644
769077149936	1285.39	702.37	1242.96	746.32	3.6958	3.8797
769077158269	1284.99	719.04	1238.10	741.57	3.7014	3.8688
769077166603	1281.18	697.34	1242.00	724.13	3.6619	3.8487
769077174937	1282.55	728.67	1237.26	726.00	3.6964	3.8796
769077183269	1273.36	707.47	1241.31	728.37	3.6403	3.8778
769077191603	1282.13	723.98	1241.39	725.75	3.6946	3.8793
769077199935	1285.97	731.76	1240.38	731.06	3.7009	3.8845
769077208268	1281.81	737.74	1235.78	731.36	3.7124	3.8773
769077216602	1282.62	729.30	1239.71	735.17	3.6942	3.8947
769077224935	1276.82	713.26	1235.50	724.82	3.6752	3.8650
769077233268	1285.17	724.63	1234.48	726.80	3.6964	3.8803
769077241602	1283.28	713.82	1237.27	733.93	3.6910	3.8872
769077249935	1284.50	701.98	1236.68	738.32	3.6735	3.8912
769077258276	1299.45	711.29	1247.02	745.81	3.6996	3.8840
769077266609	1284.90	718.23	1244.97	747.39	3.7150	3.8952
769077274942	1293.91	727.22	1240.56	757.58	3.7527	3.9210
769077283275	1295.51	714.04	1246.25	750.02	3.7272	3.9207
769077291608	1289.14	731.45	1246.91	743.27	3.7594	3.8843
769077299942	1291.96	717.97	1246.18	747.08	3.7439	3.9082
769077308274	1287.55	719.05	1250.50	742.53	3.7568	3.8957
769077316608	1296.68	717.56	1243.68	752.24	3.7333	3.9261
769077324941	1288.32	701.01	1250.15	738.49	3.7012	3.9346
769077333274	1294.42	697.30	1243.64	734.94	3.6884	3.9312
769077341608	1293.45	729.26	1244.74	730.59	3.7536	3.9324
769077349941	1292.68	737.68	1251.16	729.41	3.7693	3.9430
769077358274	1290.54	724.43	1250.02	730.08	3.7539	3.9548
769077366607	1290.42	730.99	1252.02	731.45	3.7739	3.9648
769077374940	1284.43	732.07	1252.19	740.89	3.7740	3.9879
769077383274	1284.85	731.98	1249.53	729.67	3.7773	3.9757
769077391610	1285.71	731.40	1250.88	733.81	3.7734	4.0012
769077399943	1282.21	745.13	1251.83	741.79	3.8091	3.9943
769077408276	1284.66	767.55	1237.29	778.60	3.7427	3.9464
769077416610	NaN	NaN	1130.72	1115.97	NaN	3.0911
769077424944	NaN	NaN	NaN	NaN	NaN	NaN
769077433276	NaN	NaN	NaN	NaN	NaN	NaN
769077441610	NaN	NaN	NaN	NaN	NaN	NaN
769077449942	NaN	NaN	NaN	NaN	NaN	NaN
769077458276	NaN	NaN	NaN	NaN	NaN	NaN
769077466609	NaN	NaN	NaN	NaN	NaN	NaN
769077474942	NaN	NaN	NaN	NaN	NaN	NaN
769077483276	NaN	NaN	NaN	NaN	NaN	NaN
769077491609	NaN	NaN	NaN	NaN	NaN	NaN
769077499942	NaN	NaN	NaN	NaN	NaN	NaN
769077508276	NaN	NaN	NaN	NaN	NaN	NaN
769077516609	NaN	NaN	NaN	NaN	NaN	NaN
769077524946	NaN	NaN	NaN	NaN	NaN	NaN
769077533278	NaN	NaN	NaN	NaN	NaN	NaN
769077541612	NaN	NaN	NaN	NaN	NaN	NaN
769077549945	1310.24	1134.36	1092.29	1145.14	3.7358	3.0302
769077558279	NaN	NaN	1264.50	1172.51	NaN	3.7332
769077566612	1300.18	924.76	1255.48	1048.07	3.6071	3.8602
769077574945	1286.23	873.25	1249.60	921.63	3.6819	3.8239
769077583278	1300.97	826.56	1257.76	857.10	3.7582	3.9389
769077591612	1296.69	788.72	1248.40	820.48	3.8019	3.9775
769077599945	1288.28	746.32	1241.65	791.02	3.7983	4.0524
769077608278	1300.33	754.29	1245.88	775.68	3.8163	4.0950
769077616611	1289.63	760.23	1245.86	781.21	3.8414	4.0900
769077624944	1290.15	756.98	1255.53	776.74	3.8367	4.0596
769077633277	1291.98	753.16	1258.40	779.47	3.8506	4.0845
769077641611	1289.03	759.93	1250.75	789.95	3.8553	4.1022
769077649948	1289.62	759.92	1251.22	780.83	3.8683	4.0959
769077658282	1287.88	749.00	1252.58	778.22	3.8498	4.1019
769077666615	1290.08	747.34	1257.20	774.13	3.8475	4.1092
769077674948	1284.98	746.99	1254.88	774.83	3.8564	4.1232
769077683282	1285.56	746.44	1252.82	767.29	3.8536	4.1081
769077691615	1286.37	743.35	1250.00	774.06	3.8663	4.1217
769077699947	1290.32	731.28	1258.04	768.90	3.8659	4.1113
769077708281	1292.57	731.37	1255.72	767.40	3.8585	4.1134
769077716614	1289.81	737.20	1252.16	764.05	3.8783	4.1246
769077724947	1294.64	732.24	1256.85	769.67	3.8854	4.1195
769077733281	1293.99	736.59	1258.28	768.62	3.9048	4.1386
769077741614	1292.42	723.91	1262.52	762.66	3.8864	4.1301
769077749947	1292.15	721.55	1259.28	760.62	3.8937	4.1343
769077758281	1285.61	714.41	1253.29	765.57	3.8688	4.1389
769077766614	1290.32	719.29	1253.50	768.09	3.8855	4.1366
769077774947	1288.51	722.33	1255.78	767.48	3.8790	4.1485
769077783286	1289.16	720.16	1253.81	772.45	3.8610	4.1483
769077791619	1292.33	727.38	1258.44	761.81	3.8895	4.1268
769077799952	1289.07	726.85	1260.79	756.67	3.8834	4.1234
769077808286	1289.31	730.70	1256.47	758.59	3.8872	4.1296
769077816619	1291.70	729.89	1254.90	761.41	3.8885	4.1313
769077824952	1292.24	731.01	1254.52	753.72	3.8930	4.1252
769077833286	1287.84	726.68	1250.64	754.73	3.8574	4.1219
769077841619	1286.02	741.88	1252.86	765.94	3.8742	4.1374
769077849952	1288.77	745.28	1255.18	762.51	3.9062	4.1301
769077858285	1290.75	729.16	1256.35	762.87	3.8699	4.1174
769077866617	1285.20	735.49	1247.29	761.17	3.8701	4.1303
769077874951	1290.15	740.93	1256.41	759.38	3.8752	4.1133
769077883284	1290.08	730.44	1254.92	770.11	3.8663	4.1304
769077891618	1287.50	729.85	1255.58	765.61	3.8539	4.1006
769077899951	1296.07	733.37	1252.75	759.87	3.8677	4.0739
769077908284	1293.68	744.06	1251.30	766.46	3.8743	4.0993
769077916622	1293.83	736.25	1251.88	760.28	3.8589	4.0741
769077924955	1294.27	743.31	1253.70	761.57	3.8734	4.0765
769077933288	1291.89	751.57	1254.89	758.16	3.8848	4.0721
769077941621	1292.93	736.66	1252.48	751.62	3.8550	4.0810
769077949954	1289.47	737.21	1255.95	746.59	3.8534	4.0606
769077958287	1290.27	739.88	1254.28	749.75	3.8595	4.0722
769077966621	1287.94	738.06	1254.67	746.60	3.8715	4.0533
769077974954	1291.24	743.02	1251.19	739.94	3.8585	4.0408
769077983287	1287.68	760.62	1256.55	744.99	3.8822	4.0616
769077991620	1289.96	733.17	1251.95	742.37	3.8267	4.0554
769077999954	1290.53	736.50	1253.35	745.86	3.8592	4.0471
769078008287	1286.68	748.16	1252.42	756.32	3.8574	4.0566
769078016621	1292.44	742.32	1253.03	750.66	3.8515	4.0348
769078024954	1287.78	750.73	1251.74	750.44	3.8703	4.0455
