Subject	RunNr	FixStart	FixEnd	FixDur	XPos	YPos	RMSxy	BCEA	FixRangeX	FixRangeY
sub-025_task-EyeTracking_physio	1	-7452.759	-7327.757	125.002	1268.233	790.882	0.161	0.028	0.104	0.504
sub-025_task-EyeTracking_physio	1	-7311.092	-6977.748	333.344	1277.020	818.025	0.091	0.066	0.308	0.390
sub-025_task-EyeTracking_physio	1	-6927.749	-6761.075	166.674	1780.518	1388.040	0.173	0.137	0.497	0.575
sub-025_task-EyeTracking_physio	1	-6744.408	-6594.406	150.002	1895.520	1465.095	0.243	0.129	0.490	0.648
sub-025_task-EyeTracking_physio	1	-6336.068	-5819.392	516.676	1284.172	740.403	0.193	0.171	0.657	0.738
sub-025_task-EyeTracking_physio	1	-5752.726	-5461.052	291.674	778.265	1554.235	0.155	0.075	0.425	0.675
sub-025_task-EyeTracking_physio	1	-5394.384	-5077.712	316.672	1321.278	766.785	0.170	0.077	0.321	0.804
sub-025_task-EyeTracking_physio	1	-4819.373	-4652.700	166.673	1245.207	1416.665	0.168	0.084	0.340	0.493
sub-025_task-EyeTracking_physio	1	-4269.359	-3777.687	491.672	1399.430	661.365	0.178	0.194	0.345	1.442
sub-025_task-EyeTracking_physio	1	-3727.682	-3502.680	225.002	1298.285	749.105	0.141	0.035	0.157	0.517
sub-025_task-EyeTracking_physio	1	-3252.674	-2810.998	441.676	1254.805	723.535	0.172	0.070	0.272	0.909
sub-025_task-EyeTracking_physio	1	-2794.330	-2160.983	633.347	1314.207	730.457	0.109	0.087	0.314	0.832
sub-025_task-EyeTracking_physio	1	-2144.317	-1910.978	233.339	1302.718	720.467	0.103	0.021	0.189	0.263
sub-025_task-EyeTracking_physio	1	-1894.312	-894.293	1000.019	1274.280	730.280	0.093	0.065	0.288	0.667
sub-025_task-EyeTracking_physio	1	-877.627	-710.955	166.672	1250.703	731.602	0.082	0.029	0.263	0.200
sub-025_task-EyeTracking_physio	1	-702.622	239.063	941.685	1276.805	722.545	0.091	0.101	0.553	0.462
sub-025_task-EyeTracking_physio	1	255.730	489.069	233.339	1246.657	800.723	0.145	0.039	0.203	0.508
