stimulus name	fixNr	startT	duration	X (pix)	Y (pix)	RMS	BCEA	data loss (%)	AOI nr	AOI name
sun_ateowiyyxtlctxnj.jpg	1	0.256	0.350	1424.325	783.227	0.155	0.093	0.0	5	picture
sun_ateowiyyxtlctxnj.jpg	2	0.615	0.258	1466.220	796.535	0.126	0.034	0.0	5	picture
sun_ateowiyyxtlctxnj.jpg	3	0.898	0.300	1441.992	889.395	0.130	0.036	0.0	5	picture
sun_ateowiyyxtlctxnj.jpg	4	1.206	0.183	1459.723	874.770	0.122	0.034	0.0	5	picture
sun_ateowiyyxtlctxnj.jpg	5	1.406	0.233	1449.405	755.200	0.179	0.051	0.0	5	picture
sun_ateowiyyxtlctxnj.jpg	6	1.665	0.200	1451.460	493.613	0.125	0.041	0.0	0	other
sun_ateowiyyxtlctxnj.jpg	7	1.915	0.258	986.115	750.880	0.334	0.503	0.0	0	other
sun_ateowiyyxtlctxnj.jpg	8	2.490	0.142	1089.610	819.820	0.402	0.271	0.0	6	sink
sun_ateowiyyxtlctxnj.jpg	8	2.490	0.142	1089.610	819.820	0.402	0.271	0.0	7	soap dish
sun_ateowiyyxtlctxnj.jpg	9	2.673	0.292	1413.570	767.745	0.127	0.072	0.0	5	picture
