ObjectName,Frequency
air vent,1
apron,1
armchair,1
ashtray,3
ax,1
baby chair,1
backpack,1
bag,7
bar,4
base,1
baseboard,11
basin,1
basket,45
basket crop,2
baskets,1
bathtub,61
bathtub crop,21
beam,2
bell,1
bench,1
bidet,5
bidet crop,1
blender,3
blind,18
blinder,1
blinds,2
board,14
book,9
bookcase,1
books,15
botijo,1
botlle,1
bottle,76
bottle crop,1
bottle rack,4
bottles,5
bottlr,1
bowl,68
bowls,6
box,42
bread,3
bread box,3
breadbasket,1
breadbin,1
brush,2
bucket,19
bucket crop,4
bulb,2
bulb crop,1
cabinet,209
cabinet crop,61
cabinets,21
cabubet,1
cage,1
cake,1
cake mold,1
calendar,2
camera,2
can,10
candle,11
candle holder,2
candleholder,8
cane,1
canister,9
cap,1
carpet,3
carpet crop,1
casse,1
casserole,5
ceiling,139
ceiling fan,3
ceiling recessed light,55
ceiling recessed light crop,4
ceiling spotlight,8
chair,61
chair crop,17
chairs crop,1
champagne bucket,1
chandelier,5
chandelier crop,2
cheese dish,1
chips,1
cistern crop,3
clock,13
cloth,2
coaster,3
coasters,1
cock,1
coffee cup,1
coffee cup crop,1
coffee maker,45
coffee pot,1
column,5
computer,1
containers,1
corkscrew,1
counter,5
countertop,80
countertop crop,1
crackers,1
crock,2
crockpot,1
cup,5
cups,1
curtain,69
curtain rod,4
curtains,1
cushion,2
cushion crop,1
cutlery,2
cutting board,8
dangler,1
decanter,2
decoration,3
desk,1
desk organizer,1
dish,5
dish drainer,1
dish rack,12
dish soap,1
dishcloth,26
dishes,1
dishwasher,65
dishwasher crop,4
dispenser,1
dog dish crop,1
dog feeder,1
doll,1
doo,1
door,80
door crop,23
door frame,13
double door,1
drain,2
drain pipe,1
drain plug,1
drapes,1
drawer,9
drawers,25
dress,1
dried herbs,1
egg,1
eggs,1
exhibitor,1
extractor hood,62
eyeglasses,1
fan,2
faucet,45
figure,2
figurine,14
fire extinguisher,1
flask,2
float,1
floor,252
flower,1
flowers,43
fluorescent tube,4
flush mount light,12
flush mount light crop,1
folder,1
food,12
food processor,6
football trophy,1
fork,1
fork crop,1
forks,2
frame,1
french bread,1
front,1
fruit,17
fruits,10
frying pan,8
garlic,1
gas cylinder,1
glass,40
glass crop,1
glasses,2
grater,1
grill,1
grille,5
gripper,2
ground,1
hair dryer,1
hairbrush,1
hairdryer,1
handle,4
handrail,3
hanger,1
heart,1
heater,3
heating,1
hinge,1
hose,1
hotpl,10
hotplate,1
house,1
ice bucket,1
ironing board,1
jar,45
jars,1
jug,1
kettle,33
kettle crop,1
kitchen,4
kitchen island,40
kitchen utensils,5
knife,8
knife  set,1
knife set,25
ladder,1
ladle,3
large rabbit,1
lemons,1
lid,2
light source,1
light switch,25
light switches,5
light troffer,11
lock,1
magazine,5
magnet,2
mantle,1
measuring spoons,1
microwave,77
microwave crop,2
mill,2
mirror,78
mirror crop,12
mitten,4
mixer,1
mobile,1
molding,3
mortar,1
mug,24
mug holder,1
music system,2
napkin,9
napkin holder,1
napkin rack,3
newspaper,2
notebook,1
nuts,1
oil jar,1
organizer,1
outet,1
outlet,119
oven,47
oven crop,1
oytlet,1
pan,2
paper,9
paper napkins,1
paper roll,10
paper towels,23
papers roll,1
peach,1
pendant lamp,39
pendant lamp crop,7
pepper,4
