ObjectName1,ObjectName2,CommonSubstring
air vent,chair crop,air 
air vent,hair dryer,air 
air vent,vent,vent
armchair,baby chair,chair
armchair,chair,chair
armchair,chair crop,chair
armchair,chairs crop,chair
armchair,hair dryer,hair
armchair,hairbrush,hair
armchair,hairdryer,hair
armchair,small chair,chair
ashtray,tray,tray
ashtray,trays,tray
baby chair,chair,chair
baby chair,chair crop,chair
baby chair,chairs crop,chair
baby chair,hair dryer,hair
baby chair,hairbrush,hair
baby chair,hairdryer,hair
baby chair,small chair, chair
base,baseboard,base
baseboard,board,board
baseboard,cutting board,board
baseboard,ironing board,board
baseboard,sideboard,eboard
baseboard,skirting board,board
basket,basket crop,basket
basket,baskets,basket
basket,breadbasket,basket
basket crop,baskets,basket
basket crop,bathtub crop, crop
basket crop,bidet crop,et crop
basket crop,bottle crop, crop
basket crop,breadbasket,basket
basket crop,bucket crop,ket crop
basket crop,bulb crop, crop
basket crop,cabinet crop,et crop
basket crop,carpet crop,et crop
basket crop,ceiling recessed light crop,t crop
basket crop,chair crop, crop
basket crop,chairs crop, crop
basket crop,chandelier crop, crop
basket crop,cistern crop, crop
basket crop,coffee cup crop, crop
basket crop,countertop crop, crop
basket crop,cushion crop, crop
basket crop,dishwasher crop, crop
basket crop,dog dish crop, crop
basket crop,door crop, crop
basket crop,flush mount light crop,t crop
basket crop,fork crop, crop
basket crop,glass crop, crop
basket crop,kettle crop, crop
basket crop,microwave crop, crop
basket crop,mirror crop, crop
basket crop,oven crop, crop
basket crop,pendant lamp crop, crop
basket crop,picture crop, crop
basket crop,place mat crop,t crop
basket crop,plate crop, crop
basket crop,radiator crop, crop
basket crop,range crop, crop
basket crop,refrigerator crop, crop
basket crop,rug crop, crop
basket crop,sconce crop, crop
basket crop,shelf crop, crop
basket crop,side table crop, crop
basket crop,sink crop, crop
basket crop,sofa crop, crop
basket crop,stool crop, crop
basket crop,stove crop, crop
basket crop,table crop, crop
basket crop,telephone crop, crop
basket crop,toilet crop,et crop
basket crop,towel crop, crop
basket crop,trash can crop, crop
basket crop,vase crop, crop
basket crop,window crop, crop
baskets,breadbasket,basket
bathtub,bathtub crop,bathtub
bathtub crop,bidet crop, crop
bathtub crop,bottle crop, crop
bathtub crop,bucket crop, crop
bathtub crop,bulb crop,b crop
bathtub crop,cabinet crop, crop
bathtub crop,carpet crop, crop
bathtub crop,ceiling recessed light crop, crop
bathtub crop,chair crop, crop
bathtub crop,chairs crop, crop
bathtub crop,chandelier crop, crop
bathtub crop,cistern crop, crop
bathtub crop,coffee cup crop, crop
bathtub crop,countertop crop, crop
bathtub crop,cushion crop, crop
bathtub crop,dishwasher crop, crop
bathtub crop,dog dish crop, crop
bathtub crop,door crop, crop
bathtub crop,flush mount light crop, crop
bathtub crop,fork crop, crop
bathtub crop,glass crop, crop
bathtub crop,kettle crop, crop
bathtub crop,microwave crop, crop
bathtub crop,mirror crop, crop
bathtub crop,oven crop, crop
bathtub crop,pendant lamp crop, crop
bathtub crop,picture crop, crop
bathtub crop,place mat crop, crop
bathtub crop,plate crop, crop
bathtub crop,radiator crop, crop
bathtub crop,range crop, crop
bathtub crop,refrigerator crop, crop
bathtub crop,rug crop, crop
bathtub crop,sconce crop, crop
bathtub crop,shelf crop, crop
bathtub crop,side table crop, crop
bathtub crop,sink crop, crop
bathtub crop,sofa crop, crop
bathtub crop,stool crop, crop
bathtub crop,stove crop, crop
bathtub crop,table crop, crop
bathtub crop,telephone crop, crop
bathtub crop,toilet crop, crop
bathtub crop,towel crop, crop
bathtub crop,trash can crop, crop
bathtub crop,vase crop, crop
bathtub crop,window crop, crop
bench,french bread,ench
bidet,bidet crop,bidet
bidet crop,bottle crop, crop
bidet crop,bucket crop,et crop
bidet crop,bulb crop, crop
bidet crop,cabinet crop,et crop
bidet crop,carpet crop,et crop
bidet crop,ceiling recessed light crop,t crop
bidet crop,chair crop, crop
bidet crop,chairs crop, crop
bidet crop,chandelier crop, crop
bidet crop,cistern crop, crop
bidet crop,coffee cup crop, crop
bidet crop,countertop crop, crop
bidet crop,cushion crop, crop
bidet crop,dishwasher crop, crop
bidet crop,dog dish crop, crop
bidet crop,door crop, crop
bidet crop,flush mount light crop,t crop
bidet crop,fork crop, crop
bidet crop,glass crop, crop
bidet crop,kettle crop, crop
bidet crop,microwave crop, crop
bidet crop,mirror crop, crop
