trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
-5	sun_abcegrcyvvjrcyqh.jpg	1545834.8184	1545835.0593	1545835.0684	1545838.0684
-4	sun_agtnmpgkrgkzbvjw.jpg	1545838.2768	1545838.2980	1545838.3101	1545841.3101
-3	sun_alnurdgpqodhpawt.jpg	1545841.5185	1545841.5482	1545841.5601	1545844.5601
-2	sun_ayqukzphzqiguvnc.jpg	1545844.7685	1545845.0482	1545845.0601	1545848.0602
-1	sun_amkigjbbrauvgdgg.jpg	1545848.2685	1545848.2881	1545848.2935	1545851.2935
0	sun_arxtwfsqslcwecww.jpg	1545851.5019	1545852.5232	1545852.5352	1545855.5352
1	sun_aaznyvntjefttmaz.jpg	1545879.3103	1545879.3110	1545879.3187	1545882.3187
2	sun_abntrinbqbsqoowj.jpg	1545882.5353	1545882.6657	1545882.6770	1545885.6770
3	sun_aapitsgbtktqubfy.jpg	1545885.8854	1545886.0573	1545886.0687	1545889.0687
4	sun_auetjleugthejgoc.jpg	1545889.2770	1545889.3889	1545889.3937	1545892.3937
5	sun_azqlhsjgbwpcseew.jpg	1545892.6021	1545892.6411	1545892.6520	1545895.6521
6	sun_alvdofgavhiiyosk.jpg	1545895.8604	1545895.9078	1545895.9187	1545898.9188
7	sun_aazqzpomyylceich.jpg	1545899.1271	1545899.1309	1545899.1354	1545902.1354
8	sun_ajrwezxmmjejxsbt.jpg	1545902.3438	1545903.1244	1545903.1354	1545906.1355
9	sun_aglpqkbwvbofhrgt.jpg	1545906.3438	1545906.5662	1545906.5771	1545909.5772
10	sun_azgmgniivgpqrqvu.jpg	1545909.7855	1545910.4747	1545910.4855	1545913.4855
11	sun_aleqenyvunhactkl.jpg	1545913.6938	1545913.7742	1545913.7855	1545916.7855
12	sun_azqyogdvyhahyram.jpg	1545916.9938	1545917.0313	1545917.0438	1545920.0439
13	sun_agldadusrezhmyva.jpg	1545920.2522	1545920.3250	1545920.3355	1545923.3356
14	sun_ajlxdvfhywnxqswk.jpg	1545923.5439	1545923.5915	1545923.6022	1545926.6022
15	sun_ahrhvpdhoamfdhpf.jpg	1545926.8106	1545928.4234	1545928.4355	1545931.4356
16	sun_anecxlyzpkjfxrgi.jpg	1545931.6439	1545931.6901	1545931.7022	1545934.7023
17	sun_ahmxuekfssakrqmm.jpg	1545934.9106	1545935.0984	1545935.1106	1545938.1106
18	sun_aigrduzwokggqqja.jpg	1545938.3190	1545938.3748	1545938.3856	1545941.3856
19	sun_awvfnogmotsvhofs.jpg	1545941.5940	1545941.6172	1545941.6273	1545944.6273
20	sun_akuognalfgmelepa.jpg	1545944.8357	1545945.0337	1545945.0440	1545948.0440
21	sun_azxetkujrgobhzbi.jpg	1545948.2524	1545948.3254	1545948.3357	1545951.3357
22	sun_abdiiftvfbsqoreg.jpg	1545951.5440	1545951.6173	1545951.6273	1545954.6274
23	labelme_jdgkziouohmryxw.jpg	1545954.8357	1545956.1675	1545956.1774	1545959.1774
24	sun_auwldxtolpavypst.jpg	1545959.3857	1545959.5337	1545959.5441	1545962.5441
25	sun_ahvszpwjtodgwusx.jpg	1545962.7524	1545962.9176	1545962.9274	1545965.9274
26	sun_avtdeaxixgmwquck.jpg	1545966.1358	1545966.1927	1545966.2024	1545969.2025
27	sun_aqgljqwslycnxfzi.jpg	1545969.4108	1545970.3159	1545970.3274	1545973.3275
28	sun_akjkxldecwnanoah.jpg	1545973.5358	1545973.5511	1545973.5608	1545976.5608
29	sun_aqyyqhbfyinaxiuf.jpg	1545976.7692	1545977.4845	1545977.4942	1545980.4942
30	sun_acselzrpurxmucxu.jpg	1545980.7025	1545980.8179	1545980.8275	1545983.8275
31	sun_ajnvbqoszcilcmds.jpg	1545984.0359	1545984.4096	1545984.4192	1545987.4192
32	labelme_huhykljhyigbhct.jpg	1545987.6275	1545987.9350	1545987.9442	1545990.9442
33	sun_agrhekhltqnhqoau.jpg	1545991.1526	1545991.9599	1545991.9692	1545994.9776
34	sun_akwvdhqsbtcesevi.jpg	1545995.1859	1545995.3015	1545995.3109	1545998.3109
35	sun_aiyvqzhwvppwbskj.jpg	1545998.5193	1545998.7016	1545998.7109	1546001.7110
36	sun_avnmtylgpdxtehve.jpg	1546001.9193	1546002.0934	1546002.1026	1546005.1026
37	sun_aepbpufpcgbxxcdd.jpg	1546005.3110	1546005.9851	1546005.9943	1546008.9943
38	labelme_uogxwpbmtxcnafj.jpg	1546009.2027	1546010.6351	1546010.6443	1546013.6444
39	sun_ajbfafirxjclbnxl.jpg	1546013.8527	1546014.0934	1546014.1027	1546017.1027
40	sun_aixacgstjgjpkhyx.jpg	1546017.3110	1546017.5354	1546017.5444	1546020.5444
41	sun_aepdfzurhsaporkg.jpg	1546020.7527	1546022.0271	1546022.0361	1546025.0361
42	sun_ahqjwnzgolcaoidx.jpg	1546025.2444	1546026.0433	1546026.0527	1546029.0528
43	labelme_qglnhnudtmzmocz.jpg	1546029.2611	1546029.5273	1546029.5361	1546032.5361
44	sun_agztutxlbisetcoy.jpg	1546032.7444	1546032.8191	1546032.8278	1546035.8278
45	sun_acrnjwraljsrcesa.jpg	1546036.0361	1546036.2442	1546036.2528	1546039.2528
46	sun_aheymxjdkejwbehi.jpg	1546039.4611	1546041.2775	1546041.2861	1546044.2862
47	sun_azbjiqtpgvxjjuzr.jpg	1546044.4945	1546044.6111	1546044.6195	1546047.6195
48	sun_alvoexkareccqxgq.jpg	1546047.8279	1546048.4278	1546048.4362	1546051.4362
49	sun_apbmvnchyjqxptff.jpg	1546051.6445	1546051.6947	1546051.7029	1546054.7029
50	sun_aavzagnbsbymxlyh.jpg	1546054.9112	1546055.7112	1546055.7195	1546058.7196
51	sun_aitsjpidonnknvwm.jpg	1546058.9279	1546059.0697	1546059.0779	1546062.0779
52	sun_ayfwodsvoatztibh.jpg	1546062.2863	1546062.4864	1546062.4946	1546065.4946
53	sun_amppupofnobgmmut.jpg	1546065.7030	1546065.8117	1546065.8196	1546068.8196
54	sun_ajnzhggqkskokvyd.jpg	1546069.0280	1546072.0701	1546072.0780	1546075.0780
55	sun_aprmzdnceosyiiqx.jpg	1546075.2863	1546075.4700	1546075.4780	1546078.4780
56	sun_abwmjfnrmqjdltxn.jpg	1546078.6864	1546078.7530	1546078.7613	1546081.7614
57	sun_asinbgvcqvrnsssj.jpg	1546081.9697	1546082.0287	1546082.0364	1546085.0364
58	sun_apaviskbumvstgsv.jpg	1546085.2447	1546086.2455	1546086.2530	1546089.2531
59	sun_afkjkqlhqnwftaam.jpg	1546089.4614	1546091.1122	1546091.1197	1546094.1198
60	sun_awusemdipqlufrmt.jpg	1546094.3281	1546094.5700	1546094.5781	1546097.5781
61	sun_aorysgcktvwbovgc.jpg	1546097.7865	1546098.9122	1546098.9198	1546101.9198
62	sun_aqxypnffmypblepf.jpg	1546102.1281	1546102.2363	1546102.2448	1546105.2448
63	sun_acznlxcgnetogsai.jpg	1546105.4532	1546105.5459	1546105.5532	1546108.5532
64	sun_apaxvwendkkxoteh.jpg	1546108.7615	1546108.8042	1546108.8115	1546111.8115
65	sun_apbokiglhflrauxo.jpg	1546112.0198	1546112.1043	1546112.1115	1546115.1115
66	sun_ahovdllcccjqjyeb.jpg	1546115.3199	1546115.3793	1546115.3865	1546118.3865
67	sun_aowefbfvclkxfhop.jpg	1546118.5949	1546119.1630	1546119.1699	1546122.1699
68	sun_atfpttqtzuliaaim.jpg	1546122.3782	1546122.5943	1546122.6032	1546125.6033
69	sun_algkamzphkipsfil.jpg	1546125.8116	1546125.8632	1546125.8699	1546128.8699
70	sun_ataniphupyuxeowc.jpg	1546129.0783	1546129.1464	1546129.1533	1546132.1533
71	sun_ajmwiafzffjerzeb.jpg	1546132.3616	1546132.8213	1546132.8283	1546135.8283
72	sun_ayhqvuklxnmflgid.jpg	1546136.0366	1546136.0386	1546136.0450	1546139.0450
