trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
-5	labelme_albwvmqgrgwlxxx.jpg	6242.5634	6243.9772	6243.9968	6246.9968
-4	labelme_aqzpndrsppatraq.jpg	6247.2051	6248.7373	6248.7551	6251.7552
-3	labelme_huhykljhyigbhct.jpg	6251.9635	6252.3773	6252.3968	6255.3968
-2	labelme_ihjqlrmkjyemzya.jpg	6255.6052	6255.8652	6255.8802	6258.8802
-1	labelme_iocgjwcthdvttcs.jpg	6259.0885	6259.9372	6259.9552	6262.9552
0	labelme_jdgkziouohmryxw.jpg	6263.1636	6263.3668	6263.3802	6266.3802
1	labelme_kxvouciolcpqplr.jpg	6271.7136	6274.6329	6274.6469	6277.6470
2	labelme_maitcyodsfflkgk.jpg	6277.8636	6278.1774	6278.1970	6281.1970
3	labelme_mitrosygehdeufb.jpg	6281.4053	6281.9129	6281.9303	6284.9304
4	labelme_nqcamkzzhnvpnaa.jpg	6285.1387	6285.3293	6285.3470	6288.3470
5	labelme_qglnhnudtmzmocz.jpg	6288.5554	6288.7672	6288.7804	6291.7804
6	labelme_rbrrbtaxscidgzz.jpg	6291.9887	6292.1294	6292.1471	6295.1471
7	labelme_rwwtgnnqniabmbw.jpg	6295.3554	6295.7214	6295.7387	6298.7388
8	labelme_snvevhpzwsruuja.jpg	6298.9471	6300.6654	6300.6804	6303.6805
9	labelme_tyvaihcwznonioe.jpg	6303.8888	6304.2090	6304.2221	6307.2221
10	labelme_uogxwpbmtxcnafj.jpg	6307.4305	6307.7695	6307.7888	6310.7888
11	labelme_vvuttgvlwdydbkh.jpg	6310.9972	6312.6013	6312.6138	6315.6139
12	labelme_xbsnnlvmskdknsb.jpg	6315.8222	6316.1452	6316.1639	6319.1639
13	labelme_yfvjufwlxjspvee.jpg	6319.3722	6321.4015	6321.4139	6324.4139
14	labelme_ypjbonxtpwcohyk.jpg	6324.6222	6324.8254	6324.8389	6327.8389
15	sun_aailohlxppyetonl.jpg	6328.0473	6328.1936	6328.2056	6331.2056
16	sun_aapitsgbtktqubfy.jpg	6331.4140	6331.5612	6331.5806	6334.5806
17	sun_aarrcygkwuzaeiuk.jpg	6334.7890	6338.4171	6338.4307	6341.4307
18	sun_aarslpsdvwwqyohc.jpg	6341.6390	6341.9849	6341.9973	6344.9974
19	sun_aaslbwtcdcwjukuo.jpg	6345.2057	6345.5053	6345.5223	6348.5224
20	sun_aasmevtpkslccptd.jpg	6348.7307	6349.1453	6349.1641	6352.1641
21	sun_aaurzltrbxfksuhz.jpg	6352.3724	6352.5605	6352.5724	6355.5724
22	sun_aauyknaheebshrxq.jpg	6355.7808	6356.5775	6356.5891	6359.5891
23	sun_aavhrsfjbserjtht.jpg	6359.7975	6359.9853	6359.9974	6362.9975
24	sun_aavzagnbsbymxlyh.jpg	6363.2058	6363.5213	6363.5391	6366.5392
25	sun_aawefvrbscajixha.jpg	6366.7475	6367.1455	6367.1641	6370.1642
26	sun_aaznyvntjefttmaz.jpg	6370.3725	6370.5292	6370.5475	6373.5475
27	sun_aazqzpomyylceich.jpg	6373.7559	6373.8859	6373.8975	6376.8975
28	sun_abcegrcyvvjrcyqh.jpg	6377.1059	6377.3212	6377.3392	6380.3392
29	sun_abdiiftvfbsqoreg.jpg	6380.5476	6380.7133	6380.7309	6383.7309
30	sun_abetroyqyygtscdw.jpg	6383.9393	6384.1370	6384.1559	6387.1559
31	sun_abgovsbwwyozjdzp.jpg	6387.3643	6387.6173	6387.6309	6390.6310
32	sun_abjtwfukuwddzted.jpg	6390.8393	6391.4348	6391.4476	6394.4477
33	sun_abkdszjmterwgxgk.jpg	6394.6560	6395.0015	6395.0143	6398.0143
34	sun_abntrinbqbsqoowj.jpg	6398.2227	6398.6332	6398.6477	6401.6477
35	sun_abqihmfbiddwtcmz.jpg	6401.8560	6402.0780	6402.0894	6405.0894
36	sun_abruimnjlaxgqbze.jpg	6405.2977	6405.5053	6405.5227	6408.5227
37	sun_abtdlltafvpypcff.jpg	6408.7311	6408.9294	6408.9477	6411.9478
38	sun_abvctdwfbgsumtid.jpg	6412.1561	6412.4093	6412.4227	6415.4228
39	sun_abwmjfnrmqjdltxn.jpg	6415.6311	6415.7855	6415.7978	6418.7978
40	sun_accreawivrzlvqyc.jpg	6419.0061	6419.2413	6419.2561	6422.2561
41	sun_acdlgczjpwkeuvgy.jpg	6422.4645	6422.7214	6422.7395	6425.7395
42	sun_acduarbnmmoglmiv.jpg	6425.9478	6426.3615	6426.3728	6429.3728
43	sun_acfmftudsenhrfhy.jpg	6429.5812	6429.9452	6429.9645	6432.9645
44	sun_acjcdbqhletirjdl.jpg	6433.1729	6433.4414	6433.4562	6436.4562
45	sun_aclkmsuodfedolnj.jpg	6436.6645	6437.0494	6437.0646	6440.0646
46	sun_acnxqvumxuhphsox.jpg	6440.2729	6440.6173	6440.6312	6443.6313
47	sun_acpufsxakyzrtcti.jpg	6443.8396	6444.1541	6444.1729	6447.1729
48	sun_acrnjwraljsrcesa.jpg	6447.3813	6447.6972	6447.7146	6450.7146
49	sun_acselzrpurxmucxu.jpg	6450.9230	6451.2026	6451.2146	6454.2146
50	sun_acsgbuurtwghzjel.jpg	6454.4230	6457.8015	6457.8147	6460.8147
51	sun_acwjdupvyjsugpay.jpg	6461.0230	6461.2176	6461.2314	6464.2314
52	sun_acxkpeoqbwcxfvip.jpg	6464.4397	6464.6254	6464.6397	6467.6397
53	sun_aczamediblpgqmwt.jpg	6467.8481	6467.9854	6467.9981	6470.9981
54	sun_acznlxcgnetogsai.jpg	6471.2064	6471.3865	6471.3981	6474.3981
55	sun_adbqksnwuqqwdpxc.jpg	6474.6064	6474.8654	6474.8814	6477.8815
56	sun_adcrxklhlbwrbkgm.jpg	6478.0898	6478.3708	6478.3898	6481.3898
57	sun_admyjjnxxddpqaud.jpg	6481.5981	6481.9773	6481.9898	6484.9898
58	sun_adoqbnxbotablpwl.jpg	6485.1982	6485.3934	6485.4065	6488.4065
59	sun_aelpnoofufvvqqhf.jpg	6488.6148	6488.9933	6489.0065	6492.0065
60	sun_aemhfvjhjlqeigto.jpg	6492.2149	6492.6089	6492.6232	6495.6232
61	sun_aenotlpyftoioydp.jpg	6495.8316	6496.1449	6496.1565	6499.1566
62	sun_aepbpufpcgbxxcdd.jpg	6499.3649	6499.6560	6499.6732	6502.6733
63	sun_aepdfzurhsaporkg.jpg	6502.8816	6503.1933	6503.2066	6506.2066
64	sun_aepvxmukjcxphfiy.jpg	6506.4149	6506.5693	6506.5816	6509.5816
65	sun_aeqdtdmvphproomc.jpg	6509.7900	6510.2889	6510.3066	6513.3066
66	sun_aevezokbkeojznwq.jpg	6513.5150	6513.7689	6513.7816	6516.7817
67	sun_aewpzjfotcutxost.jpg	6516.9900	6517.4173	6517.4317	6520.4317
68	sun_aexxtzchsriqptwg.jpg	6520.6400	6521.8492	6521.8650	6524.8650
69	sun_aezuhrkzpxgayaoe.jpg	6525.0734	6525.3774	6525.3901	6528.3901
70	sun_afbibxsnpvkmvhxn.jpg	6528.5984	6528.9292	6528.9484	6531.9484
71	sun_afkjkqlhqnwftaam.jpg	6532.1568	6532.2495	6532.2651	6535.2651
72	sun_afmgqyvomuhprelx.jpg	6535.4734	6535.9215	6535.9401	6538.9401
73	sun_afmsnwrincaowafk.jpg	6539.1484	6541.4494	6541.4651	6544.4652
74	sun_afscqnhvouixrplg.jpg	6544.6735	6544.7774	6544.7902	6547.7902
75	sun_afsugeohwcfpkvgo.jpg	6547.9985	6548.2255	6548.2402	6551.2402
76	sun_afuskngoumwbljpz.jpg	6551.4485	6551.5294	6551.5485	6554.5485
77	sun_afutksgwyoqttegy.jpg	6554.7569	6578.9452	6578.9653	6581.9654
78	sun_afvkcxzohlpzliti.jpg	6582.1737	6582.5212	6582.5404	6585.5404
79	sun_afznskzeyysxrlqg.jpg	6585.7487	6586.1774	6586.1904	6589.1904
80	sun_agauzddnbwdarpbz.jpg	6589.3987	6589.5775	6589.5904	6592.5904
81	sun_agctjiqflyqiupzx.jpg	6592.7988	6592.9369	6592.9488	6595.9488
82	sun_ageomnacdflnblsi.jpg	6596.1571	6596.4092	6596.4238	6599.4238
83	sun_agfbbeozqztznacq.jpg	6599.6321	6643.6409	6643.6574	6646.6574
84	sun_agguqiubmwhqqunb.jpg	6646.8657	6647.5294	6647.5491	6650.5491
85	sun_agldadusrezhmyva.jpg	6650.7574	6651.2255	6651.2407	6654.2408
86	sun_aglpqkbwvbofhrgt.jpg	6654.4491	6654.5694	6654.5824	6657.5824
87	sun_aglwoufpxbtxqecp.jpg	6657.7908	6658.0329	6658.0491	6661.0491
88	sun_agqborhpkvvwbvfl.jpg	6661.2575	6661.3935	6661.4074	6664.4075
89	sun_agqfelptwqubavme.jpg	6664.6158	6664.9455	6664.9575	6667.9575
90	sun_agrhekhltqnhqoau.jpg	6668.1658	6668.3694	6668.3825	6671.3825
91	sun_agrkvwbkgrglcoga.jpg	6671.5909	6671.8895	6671.9075	6674.9075
92	sun_agrwbmhcpmfuwmsg.jpg	6675.1159	6675.4095	6675.4242	6678.4242
93	sun_agtnmpgkrgkzbvjw.jpg	6678.6326	6678.7289	6678.7409	6681.7409
94	sun_agxuuvqtddjgypyr.jpg	6681.9492	6682.1936	6682.2076	6685.2076
95	sun_agztutxlbisetcoy.jpg	6685.4159	6685.7693	6685.7826	6688.7826
96	sun_ahbhthuvbhsokcnl.jpg	6688.9909	6689.2891	6689.3076	6692.3076
97	sun_ahdoavtbmzlbpsyw.jpg	6692.5160	6692.6439	6692.6576	6695.6577
98	sun_ahdycvpopffkzzsu.jpg	6695.8660	6696.0493	6696.0660	6699.0660
99	sun_aheymxjdkejwbehi.jpg	6699.2743	6701.1930	6701.2077	6704.2077
100	sun_ahijqszoswveeyji.jpg	6704.4160	6704.6015	6704.6160	6707.6161
