trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
-5	sun_abcegrcyvvjrcyqh.jpg	591754.1072	591760.6659	591760.6959	591763.7150
-4	sun_agtnmpgkrgkzbvjw.jpg	591763.9318	591766.5112	591766.5339	591769.5531
-3	sun_alnurdgpqodhpawt.jpg	591769.7699	591771.4389	591771.4880	591774.5071
-2	sun_ayqukzphzqiguvnc.jpg	591774.7240	591776.6868	591776.7089	591779.7280
-1	sun_amkigjbbrauvgdgg.jpg	591779.9449	591782.4414	591782.4636	591785.4827
0	sun_arxtwfsqslcwecww.jpg	591785.6996	591787.8247	591787.8513	591790.8704
1	sun_aaznyvntjefttmaz.jpg	591862.1451	591863.5030	591863.5963	591866.6154
2	sun_abntrinbqbsqoowj.jpg	591866.8323	591869.3826	591869.4010	591872.4201
3	sun_aapitsgbtktqubfy.jpg	591872.6370	591874.0630	591874.1048	591877.1239
4	sun_auetjleugthejgoc.jpg	591877.3408	591878.5836	591878.6085	591881.6276
5	sun_azqlhsjgbwpcseew.jpg	591881.8444	591883.5911	591883.6293	591886.6484
6	sun_alvdofgavhiiyosk.jpg	591886.8652	591887.8472	591887.8660	591890.8851
7	sun_aazqzpomyylceich.jpg	591891.1020	591892.2551	591892.3030	591895.3221
8	sun_ajrwezxmmjejxsbt.jpg	591895.5389	591896.7510	591896.7733	591899.7924
9	sun_aglpqkbwvbofhrgt.jpg	591900.0092	591900.9689	591900.9934	591904.0125
10	sun_azgmgniivgpqrqvu.jpg	591904.2293	591905.6947	591905.7472	591908.7664
11	sun_aleqenyvunhactkl.jpg	591908.9832	591910.3112	591910.3677	591913.3868
12	sun_azqyogdvyhahyram.jpg	591913.6036	591914.4468	591914.5210	591917.5402
13	sun_agldadusrezhmyva.jpg	591917.7570	591918.6226	591918.6577	591921.6769
14	sun_ajlxdvfhywnxqswk.jpg	591921.8937	591922.9910	591923.0113	591926.0304
15	sun_ahrhvpdhoamfdhpf.jpg	591926.2473	591927.4145	591927.4316	591930.4507
16	sun_anecxlyzpkjfxrgi.jpg	591930.6675	591932.0866	591932.1521	591935.1712
17	sun_ahmxuekfssakrqmm.jpg	591935.3880	591936.5588	591936.5890	591939.6081
18	sun_aigrduzwokggqqja.jpg	591939.8250	591940.9828	591941.0093	591944.0284
19	sun_awvfnogmotsvhofs.jpg	591944.2452	591945.5749	591945.5963	591948.6155
20	sun_akuognalfgmelepa.jpg	591948.8323	591949.3988	591949.4828	591952.5019
21	sun_azxetkujrgobhzbi.jpg	591952.7188	591953.1350	591953.1692	591956.1883
22	sun_abdiiftvfbsqoreg.jpg	591956.4051	591957.2631	591957.3059	591960.3250
23	labelme_jdgkziouohmryxw.jpg	591960.5418	591961.1588	591961.2257	591964.2448
24	sun_auwldxtolpavypst.jpg	591964.4617	591964.9669	591965.0288	591968.0479
25	sun_ahvszpwjtodgwusx.jpg	591968.2648	591969.1670	591969.1989	591972.2180
26	sun_avtdeaxixgmwquck.jpg	591972.4348	591973.2071	591973.2855	591976.3047
27	sun_aqgljqwslycnxfzi.jpg	591976.5215	591977.2945	591977.3388	591980.3580
28	sun_akjkxldecwnanoah.jpg	591980.5748	591981.0869	591981.1086	591984.1277
29	sun_aqyyqhbfyinaxiuf.jpg	591984.3445	591985.9032	591985.9292	591988.9483
30	sun_acselzrpurxmucxu.jpg	591989.1651	591989.8151	591989.8657	591992.8848
31	sun_ajnvbqoszcilcmds.jpg	591993.1017	591993.8391	591993.8856	591996.9048
32	labelme_huhykljhyigbhct.jpg	591997.1216	591999.0881	591999.1399	592002.1590
33	sun_agrhekhltqnhqoau.jpg	592002.3759	592002.9190	592002.9430	592005.9621
34	sun_akwvdhqsbtcesevi.jpg	592006.1790	592007.2389	592007.3132	592010.3323
35	sun_aiyvqzhwvppwbskj.jpg	592010.5492	592011.4391	592011.4833	592014.5024
36	sun_avnmtylgpdxtehve.jpg	592014.7192	592016.4303	592016.4707	592019.4898
37	sun_aepbpufpcgbxxcdd.jpg	592019.7066	592020.3990	592020.4572	592023.4764
38	labelme_uogxwpbmtxcnafj.jpg	592023.6932	592024.5505	592024.5939	592027.6131
39	sun_ajbfafirxjclbnxl.jpg	592027.8299	592028.4871	592028.5305	592031.5496
40	sun_aixacgstjgjpkhyx.jpg	592031.7664	592032.5559	592032.6505	592035.6696
41	sun_aepdfzurhsaporkg.jpg	592035.8865	592036.5806	592036.6371	592039.6562
42	sun_ahqjwnzgolcaoidx.jpg	592039.8730	592040.2392	592040.3067	592043.3258
43	labelme_qglnhnudtmzmocz.jpg	592043.5427	592044.2632	592044.2933	592047.3124
44	sun_agztutxlbisetcoy.jpg	592047.5293	592047.8632	592047.8796	592050.8987
45	sun_acrnjwraljsrcesa.jpg	592051.1155	592052.3829	592052.4333	592055.4524
46	sun_aheymxjdkejwbehi.jpg	592055.6692	592056.2396	592056.2697	592059.2888
47	sun_azbjiqtpgvxjjuzr.jpg	592059.5057	592060.7665	592060.8568	592063.8759
48	sun_alvoexkareccqxgq.jpg	592064.0927	592064.8547	592064.8767	592067.8958
49	sun_apbmvnchyjqxptff.jpg	592068.1127	592069.3271	592069.3637	592072.3828
50	sun_aavzagnbsbymxlyh.jpg	592072.5997	592072.7065	592072.7331	592075.7522
51	sun_aitsjpidonnknvwm.jpg	592075.9691	592076.4070	592076.4695	592079.4886
52	sun_ayfwodsvoatztibh.jpg	592079.7054	592080.4470	592080.4894	592083.5085
53	sun_amppupofnobgmmut.jpg	592083.7254	592084.0390	592084.0590	592087.0781
54	sun_ajnzhggqkskokvyd.jpg	592087.2950	592087.9830	592088.0122	592091.0313
55	sun_aprmzdnceosyiiqx.jpg	592091.2482	592091.8468	592091.8987	592094.9178
56	sun_abwmjfnrmqjdltxn.jpg	592095.1347	592096.1907	592096.2189	592099.2380
57	sun_asinbgvcqvrnsssj.jpg	592099.4548	592100.4320	592100.4890	592103.5081
58	sun_apaviskbumvstgsv.jpg	592103.7250	592104.4230	592104.4756	592107.4947
59	sun_afkjkqlhqnwftaam.jpg	592107.7116	592108.7990	592108.8125	592111.8316
60	sun_awusemdipqlufrmt.jpg	592112.0484	592112.4308	592112.4488	592115.4679
61	sun_aorysgcktvwbovgc.jpg	592115.6847	592117.4147	592117.4528	592120.4719
62	sun_aqxypnffmypblepf.jpg	592120.6888	592122.2725	592122.3235	592125.3426
63	sun_acznlxcgnetogsai.jpg	592125.5594	592129.8308	592129.9130	592132.9321
64	sun_apaxvwendkkxoteh.jpg	592133.1489	592133.9749	592134.0163	592137.0354
65	sun_apbokiglhflrauxo.jpg	592137.2523	592137.9482	592138.0362	592141.0554
66	sun_ahovdllcccjqjyeb.jpg	592141.2722	592141.6545	592141.6725	592144.6917
67	sun_aowefbfvclkxfhop.jpg	592144.9085	592145.3265	592145.3755	592148.3947
68	sun_atfpttqtzuliaaim.jpg	592148.6115	592148.9748	592149.0118	592152.0310
69	sun_algkamzphkipsfil.jpg	592152.2478	592156.7004	592156.7348	592159.7539
70	sun_ataniphupyuxeowc.jpg	592159.9708	592160.8334	592160.8715	592163.8906
71	sun_ajmwiafzffjerzeb.jpg	592164.1075	592164.8235	592164.8581	592167.8772
72	sun_ayhqvuklxnmflgid.jpg	592168.0940	592169.0147	592169.0782	592172.0973
73	sun_ajnzlaendvxbrnmy.jpg	592172.3141	592172.9825	592173.0314	592176.0505
74	sun_aknopalvgzzgfngw.jpg	592176.2674	592176.7828	592176.8011	592179.8202
75	sun_aexxtzchsriqptwg.jpg	592180.0371	592180.6385	592180.7210	592183.7401
76	sun_afmgqyvomuhprelx.jpg	592183.9569	592186.0069	592186.0253	592189.0444
77	sun_aevezokbkeojznwq.jpg	592189.2612	592189.6388	592189.6616	592192.6807
78	sun_adcrxklhlbwrbkgm.jpg	592192.8975	592193.3671	592193.4146	592196.4337
79	sun_aepvxmukjcxphfiy.jpg	592196.6506	592197.0763	592197.1010	592200.1201
80	sun_aqgncenzjwahkkgv.jpg	592200.3369	592200.7665	592200.8207	592203.8398
81	sun_aijkdpqohzcmjsco.jpg	592204.0566	592204.7030	592204.7405	592207.7596
82	sun_auyrvbsgjzcbllwy.jpg	592207.9765	592209.1345	592209.1608	592212.1799
83	sun_aqrdtsxisrulfusj.jpg	592212.3967	592212.8684	592212.9472	592215.9663
84	sun_aryemauxglpckieh.jpg	592216.1831	592218.6548	592218.7185	592221.7377
85	sun_ahilhlihtltiiszr.jpg	592221.9545	592222.9348	592222.9720	592225.9911
86	sun_aiwjjxhtgtrwjdsf.jpg	592226.2080	592226.5687	592226.6417	592229.6608
87	sun_aclkmsuodfedolnj.jpg	592229.8776	592230.7607	592230.7784	592233.7975
88	sun_aiceqwbizyfbxjga.jpg	592234.0143	592234.3429	592234.3646	592237.3837
89	labelme_kxvouciolcpqplr.jpg	592237.6006	592238.2305	592238.2675	592241.2869
90	sun_agauzddnbwdarpbz.jpg	592241.5038	592243.6870	592243.7222	592246.7413
91	sun_amjiwsczphtrowfh.jpg	592246.9582	592248.4788	592248.4928	592251.5119
92	sun_arehvoriqhbnqssp.jpg	592251.7287	592252.2070	592252.2792	592255.2983
93	sun_aottaoasihbcshqd.jpg	592255.5151	592256.0864	592256.1323	592259.1514
94	sun_anlddfvefwvocyae.jpg	592259.3683	592259.6550	592259.7352	592262.7544
95	sun_apfmyjfgtjmwzvfb.jpg	592262.9712	592263.3747	592263.4216	592266.4407
96	sun_ahdoavtbmzlbpsyw.jpg	592266.6575	592266.8789	592266.9411	592269.9602
97	sun_abjtwfukuwddzted.jpg	592270.1771	592271.5264	592271.6116	592274.6307
98	sun_arhwdncltdednobr.jpg	592274.8475	592275.1429	592275.1811	592278.2003
99	sun_awnqiikzaispgmwo.jpg	592278.4171	592278.7906	592278.8174	592281.8366
100	sun_avcxsdrrfbrkydcp.jpg	592282.0534	592283.6385	592283.6881	592286.7072
101	sun_agxuuvqtddjgypyr.jpg	592298.1665	592299.3989	592299.4342	592302.4533
102	sun_ajyzthllrejcnemk.jpg	592302.6702	592302.9188	592302.9371	592305.9562
103	sun_acxkpeoqbwcxfvip.jpg	592306.1730	592306.6150	592306.7068	592309.7259
104	sun_afbibxsnpvkmvhxn.jpg	592309.9428	592310.6629	592310.7267	592313.7458
105	sun_anydqmweocgeuwol.jpg	592313.9627	592314.1909	592314.2129	592317.2320
106	sun_ajjktnfzwntvwsfh.jpg	592317.4489	592319.7126	592319.7341	592322.7532
107	sun_afsugeohwcfpkvgo.jpg	592322.9700	592323.9344	592323.9542	592326.9733
108	sun_algllabdmeofrowq.jpg	592327.1901	592327.9027	592327.9241	592330.9432
109	sun_attdviyipsljunts.jpg	592331.1600	592331.9989	592332.0441	592335.0632
110	sun_anaaondppjmietbw.jpg	592335.2800	592335.9829	592336.0140	592339.0331
111	sun_akcicdjszssqmkjl.jpg	592339.2499	592339.7027	592339.7837	592342.8028
112	sun_ansbufagozaoxmru.jpg	592343.0197	592343.4379	592343.4534	592346.4725
113	sun_agfbbeozqztznacq.jpg	592346.6893	592347.1217	592347.1397	592350.1588
114	sun_abruimnjlaxgqbze.jpg	592350.3757	592350.6928	592350.7259	592353.7450
