trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
-5	sun_abcegrcyvvjrcyqh.jpg	1498691.4796	1498697.8063	1498697.8133	1498700.8133
-4	sun_agtnmpgkrgkzbvjw.jpg	1498701.0215	1498702.1640	1498702.1716	1498705.1716
-3	sun_alnurdgpqodhpawt.jpg	1498705.3800	1498706.2068	1498706.2129	1498709.2133
-2	sun_ayqukzphzqiguvnc.jpg	1498709.4216	1498710.4971	1498710.5050	1498713.5050
-1	sun_amkigjbbrauvgdgg.jpg	1498713.7133	1498714.2732	1498714.2799	1498717.2800
0	sun_arxtwfsqslcwecww.jpg	1498717.4883	1498718.1907	1498718.2053	1498721.2050
1	sun_aaznyvntjefttmaz.jpg	1498778.3716	1498789.4242	1498789.4302	1498792.4385
2	sun_abntrinbqbsqoowj.jpg	1498792.6469	1498792.8864	1498792.8970	1498795.8968
3	sun_aapitsgbtktqubfy.jpg	1498796.1052	1498796.3427	1498796.3556	1498799.3552
4	sun_auetjleugthejgoc.jpg	1498799.5636	1498800.1984	1498800.2052	1498803.2052
5	sun_azqlhsjgbwpcseew.jpg	1498803.4136	1498804.3833	1498804.3969	1498807.3968
6	sun_alvdofgavhiiyosk.jpg	1498807.6052	1498808.5231	1498808.5301	1498811.5302
7	sun_aazqzpomyylceich.jpg	1498811.7386	1498812.4548	1498812.4636	1498815.4636
8	sun_ajrwezxmmjejxsbt.jpg	1498815.6719	1498816.3741	1498816.3890	1498819.3885
9	sun_aglpqkbwvbofhrgt.jpg	1498819.5969	1498819.8861	1498819.8969	1498822.8968
10	sun_azgmgniivgpqrqvu.jpg	1498823.1052	1498823.4063	1498823.4136	1498826.4135
11	sun_aleqenyvunhactkl.jpg	1498826.6220	1498827.0919	1498827.1053	1498830.1052
12	sun_azqyogdvyhahyram.jpg	1498830.3137	1498830.6254	1498830.6299	1498833.6302
13	sun_agldadusrezhmyva.jpg	1498833.8387	1498834.1267	1498834.1386	1498837.1387
14	sun_ajlxdvfhywnxqswk.jpg	1498837.3470	1498837.8919	1498837.9053	1498840.9052
15	sun_ahrhvpdhoamfdhpf.jpg	1498841.1136	1498841.7089	1498841.7130	1498844.7136
16	sun_anecxlyzpkjfxrgi.jpg	1498844.9220	1498845.2866	1498845.2970	1498848.2970
17	sun_ahmxuekfssakrqmm.jpg	1498848.5054	1498848.9426	1498848.9557	1498851.9552
18	sun_aigrduzwokggqqja.jpg	1498852.1637	1498852.6386	1498852.6471	1498855.6470
19	sun_awvfnogmotsvhofs.jpg	1498855.8553	1498856.3092	1498856.3224	1498859.3221
20	sun_akuognalfgmelepa.jpg	1498859.5304	1498860.3172	1498860.3306	1498863.3304
21	sun_azxetkujrgobhzbi.jpg	1498863.5387	1498864.4785	1498864.4888	1498867.4887
22	sun_abdiiftvfbsqoreg.jpg	1498867.6970	1498868.3348	1498868.3473	1498871.3470
23	labelme_jdgkziouohmryxw.jpg	1498871.5554	1498871.8863	1498871.8970	1498874.8969
24	sun_auwldxtolpavypst.jpg	1498875.1054	1498875.4930	1498875.5058	1498878.5053
25	sun_ahvszpwjtodgwusx.jpg	1498878.7138	1498878.9423	1498878.9558	1498881.9553
26	sun_avtdeaxixgmwquck.jpg	1498882.1637	1498882.4182	1498882.4304	1498885.4303
27	sun_aqgljqwslycnxfzi.jpg	1498885.6388	1498888.0223	1498888.0305	1498891.0305
28	sun_akjkxldecwnanoah.jpg	1498891.2388	1498891.8386	1498891.8471	1498894.8471
29	sun_aqyyqhbfyinaxiuf.jpg	1498895.0556	1498897.1505	1498897.1641	1498900.1638
30	sun_acselzrpurxmucxu.jpg	1498900.3721	1498903.7423	1498903.7468	1498906.7471
31	sun_ajnvbqoszcilcmds.jpg	1498906.9554	1498907.5921	1498907.6059	1498910.6054
32	labelme_huhykljhyigbhct.jpg	1498910.8138	1498910.9917	1498911.0055	1498914.0054
33	sun_agrhekhltqnhqoau.jpg	1498914.2138	1498914.4464	1498914.4555	1498917.4556
34	sun_akwvdhqsbtcesevi.jpg	1498917.6639	1498918.0772	1498918.0889	1498921.0889
35	sun_aiyvqzhwvppwbskj.jpg	1498921.2971	1498921.7361	1498921.7471	1498924.7472
36	sun_avnmtylgpdxtehve.jpg	1498924.9554	1498925.5189	1498925.5306	1498928.5305
37	sun_aepbpufpcgbxxcdd.jpg	1498928.7389	1498930.0941	1498930.1057	1498933.1056
38	labelme_uogxwpbmtxcnafj.jpg	1498933.3138	1498933.8526	1498933.8640	1498936.8638
39	sun_ajbfafirxjclbnxl.jpg	1498937.0723	1498937.4621	1498937.4722	1498940.4721
40	sun_aixacgstjgjpkhyx.jpg	1498940.6806	1498941.0778	1498941.0889	1498944.0889
41	sun_aepdfzurhsaporkg.jpg	1498944.2973	1498944.3944	1498944.4055	1498947.4056
42	sun_ahqjwnzgolcaoidx.jpg	1498947.6139	1498948.2343	1498948.2383	1498951.2388
43	labelme_qglnhnudtmzmocz.jpg	1498951.4472	1498951.9500	1498951.9556	1498954.9556
44	sun_agztutxlbisetcoy.jpg	1498955.1639	1498955.7744	1498955.7799	1498958.7805
45	sun_acrnjwraljsrcesa.jpg	1498958.9889	1498959.5661	1498959.5723	1498962.5723
46	sun_aheymxjdkejwbehi.jpg	1498962.7806	1498963.1820	1498963.1890	1498966.1890
47	sun_azbjiqtpgvxjjuzr.jpg	1498966.3973	1498966.9612	1498966.9724	1498969.9723
48	sun_alvoexkareccqxgq.jpg	1498970.1807	1498970.9600	1498970.9727	1498973.9722
49	sun_apbmvnchyjqxptff.jpg	1498974.1806	1498974.8099	1498974.8227	1498977.8222
50	sun_aavzagnbsbymxlyh.jpg	1498978.0306	1498978.6377	1498978.6473	1498981.6473
51	sun_aitsjpidonnknvwm.jpg	1498981.8558	1498982.1580	1498982.1640	1498985.1639
52	sun_ayfwodsvoatztibh.jpg	1498985.3723	1498986.9342	1498986.9477	1498989.9467
53	sun_amppupofnobgmmut.jpg	1498990.1556	1498990.6143	1498990.6225	1498993.6223
54	sun_ajnzhggqkskokvyd.jpg	1498993.8307	1498994.1021	1498994.1141	1498997.1141
55	sun_aprmzdnceosyiiqx.jpg	1498997.3224	1498997.5659	1498997.5724	1499000.5724
56	sun_abwmjfnrmqjdltxn.jpg	1499000.7808	1499001.1821	1499001.1889	1499004.1891
57	sun_asinbgvcqvrnsssj.jpg	1499004.3974	1499004.7421	1499004.7475	1499007.7473
58	sun_apaviskbumvstgsv.jpg	1499007.9558	1499008.3663	1499008.3724	1499011.3724
59	sun_afkjkqlhqnwftaam.jpg	1499011.5807	1499012.5292	1499012.5392	1499015.5390
60	sun_awusemdipqlufrmt.jpg	1499015.7474	1499018.9420	1499018.9475	1499021.9474
61	sun_aorysgcktvwbovgc.jpg	1499022.1558	1499022.7103	1499022.7226	1499025.7225
62	sun_aqxypnffmypblepf.jpg	1499025.9308	1499038.1964	1499038.2058	1499041.2058
63	sun_acznlxcgnetogsai.jpg	1499041.4142	1499042.6460	1499042.6558	1499045.6557
64	sun_apaxvwendkkxoteh.jpg	1499045.8642	1499047.5182	1499047.5312	1499050.5310
65	sun_apbokiglhflrauxo.jpg	1499050.7391	1499052.3661	1499052.3812	1499055.3807
66	sun_ahovdllcccjqjyeb.jpg	1499055.5892	1499057.8941	1499057.9059	1499060.9059
67	sun_aowefbfvclkxfhop.jpg	1499061.1142	1499062.3020	1499062.3142	1499065.3141
68	sun_atfpttqtzuliaaim.jpg	1499065.5226	1499066.5501	1499066.5646	1499069.5644
69	sun_algkamzphkipsfil.jpg	1499069.7726	1499080.5637	1499080.5726	1499083.5726
70	sun_ataniphupyuxeowc.jpg	1499083.7809	1499084.6859	1499084.6978	1499087.6975
71	sun_ajmwiafzffjerzeb.jpg	1499087.9059	1499100.9578	1499100.9729	1499103.9727
72	sun_ayhqvuklxnmflgid.jpg	1499104.1810	1499105.1261	1499105.1303	1499108.1310
73	sun_ajnzlaendvxbrnmy.jpg	1499108.3394	1499109.0294	1499109.0393	1499112.0393
74	sun_aknopalvgzzgfngw.jpg	1499112.2477	1499112.9813	1499112.9894	1499115.9893
75	sun_aexxtzchsriqptwg.jpg	1499116.1978	1499116.7099	1499116.7227	1499119.7227
76	sun_afmgqyvomuhprelx.jpg	1499119.9311	1499120.4218	1499120.4311	1499123.4311
77	sun_aevezokbkeojznwq.jpg	1499123.6394	1499124.1498	1499124.1648	1499127.1645
78	sun_adcrxklhlbwrbkgm.jpg	1499127.3726	1499127.6620	1499127.6727	1499130.6727
79	sun_aepvxmukjcxphfiy.jpg	1499130.8811	1499131.2219	1499131.2310	1499134.2310
80	sun_aqgncenzjwahkkgv.jpg	1499134.4394	1499134.9898	1499134.9977	1499137.9977
81	sun_aijkdpqohzcmjsco.jpg	1499138.2061	1499138.4858	1499138.4978	1499141.4977
82	sun_auyrvbsgjzcbllwy.jpg	1499141.7061	1499153.2060	1499153.2144	1499156.2144
