trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
-5	sun_abcegrcyvvjrcyqh.jpg	1393145.4230	1393155.9207	1393155.9278	1393158.9260
-4	sun_agtnmpgkrgkzbvjw.jpg	1393159.1357	1393160.2116	1393160.2189	1393163.2165
-3	sun_alnurdgpqodhpawt.jpg	1393163.4236	1393164.2728	1393164.2823	1393167.2804
-2	sun_ayqukzphzqiguvnc.jpg	1393167.4862	1393167.8007	1393167.8088	1393170.8067
-1	sun_amkigjbbrauvgdgg.jpg	1393171.0175	1393171.3765	1393171.3860	1393174.3831
0	sun_arxtwfsqslcwecww.jpg	1393174.5892	1393175.1605	1393175.1668	1393178.1648
1	sun_aaznyvntjefttmaz.jpg	1393236.9909	1393269.1204	1393269.1291	1393272.1270
2	sun_abntrinbqbsqoowj.jpg	1393272.3357	1393272.9096	1393272.9191	1393275.9168
3	sun_aapitsgbtktqubfy.jpg	1393276.1233	1393276.4744	1393276.4874	1393279.4843
4	sun_auetjleugthejgoc.jpg	1393279.6929	1393279.9845	1393279.9917	1393282.9894
5	sun_azqlhsjgbwpcseew.jpg	1393283.1958	1393283.3764	1393283.3830	1393286.3806
6	sun_alvdofgavhiiyosk.jpg	1393286.5875	1393287.2004	1393287.2125	1393290.2095
7	sun_aazqzpomyylceich.jpg	1393290.4184	1393290.9762	1393290.9838	1393293.9814
8	sun_ajrwezxmmjejxsbt.jpg	1393294.1881	1393294.6324	1393294.6386	1393297.6366
9	sun_aglpqkbwvbofhrgt.jpg	1393297.8427	1393299.3046	1393299.3123	1393302.3100
10	sun_azgmgniivgpqrqvu.jpg	1393302.5186	1393302.8515	1393302.8604	1393305.8580
11	sun_aleqenyvunhactkl.jpg	1393306.0640	1393306.3124	1393306.3193	1393309.3169
12	sun_azqyogdvyhahyram.jpg	1393309.5235	1393309.7205	1393309.7318	1393312.7289
13	sun_agldadusrezhmyva.jpg	1393312.9356	1393313.1923	1393313.2019	1393316.1989
14	sun_ajlxdvfhywnxqswk.jpg	1393316.4073	1393316.6805	1393316.6881	1393319.6856
15	sun_ahrhvpdhoamfdhpf.jpg	1393319.8914	1393320.1123	1393320.1213	1393323.1188
16	sun_anecxlyzpkjfxrgi.jpg	1393323.3265	1393323.5043	1393323.5121	1393326.5099
17	sun_ahmxuekfssakrqmm.jpg	1393326.7175	1393326.9202	1393326.9297	1393329.9270
18	sun_aigrduzwokggqqja.jpg	1393330.1336	1393330.4401	1393330.4497	1393333.4472
19	sun_awvfnogmotsvhofs.jpg	1393333.6536	1393334.1204	1393334.1286	1393337.1263
20	sun_akuognalfgmelepa.jpg	1393337.3346	1393338.0723	1393338.0796	1393341.0770
21	sun_azxetkujrgobhzbi.jpg	1393341.2842	1393341.8324	1393341.8418	1393344.8396
22	sun_abdiiftvfbsqoreg.jpg	1393345.0462	1393345.5361	1393345.5451	1393348.5428
23	labelme_jdgkziouohmryxw.jpg	1393348.7507	1393349.0401	1393349.0476	1393352.0452
24	sun_auwldxtolpavypst.jpg	1393352.2510	1393352.5363	1393352.5437	1393355.5414
25	sun_ahvszpwjtodgwusx.jpg	1393355.7510	1393356.4325	1393356.4408	1393359.4389
26	sun_avtdeaxixgmwquck.jpg	1393359.6481	1393360.1602	1393360.1673	1393363.1655
27	sun_aqgljqwslycnxfzi.jpg	1393363.3749	1393363.9042	1393363.9104	1393366.9080
28	sun_akjkxldecwnanoah.jpg	1393367.1143	1393367.5678	1393367.5795	1393370.5770
29	sun_aqyyqhbfyinaxiuf.jpg	1393370.7846	1393371.2718	1393371.2812	1393374.2783
30	sun_acselzrpurxmucxu.jpg	1393374.4851	1393375.0002	1393375.0065	1393378.0043
31	sun_ajnvbqoszcilcmds.jpg	1393378.2108	1393379.5438	1393379.5555	1393382.5527
32	labelme_huhykljhyigbhct.jpg	1393382.7609	1393383.6161	1393383.6256	1393386.6228
33	sun_agrhekhltqnhqoau.jpg	1393386.8292	1393387.2563	1393387.2628	1393390.2604
34	sun_akwvdhqsbtcesevi.jpg	1393390.4660	1393391.0965	1393391.1048	1393394.1023
35	sun_aiyvqzhwvppwbskj.jpg	1393394.3110	1393395.7202	1393395.7274	1393398.7250
36	sun_avnmtylgpdxtehve.jpg	1393398.9322	1393400.6481	1393400.6580	1393403.6558
37	sun_aepbpufpcgbxxcdd.jpg	1393403.8623	1393407.2243	1393407.2323	1393410.2303
38	labelme_uogxwpbmtxcnafj.jpg	1393410.4392	1393412.1357	1393412.1432	1393415.1411
39	sun_ajbfafirxjclbnxl.jpg	1393415.3503	1393416.5997	1393416.6067	1393419.6047
40	sun_aixacgstjgjpkhyx.jpg	1393419.8113	1393422.6320	1393422.6426	1393425.6401
41	sun_aepdfzurhsaporkg.jpg	1393425.8479	1393429.0721	1393429.0794	1393432.0770
42	sun_ahqjwnzgolcaoidx.jpg	1393432.2836	1393432.8642	1393432.8705	1393435.8687
43	labelme_qglnhnudtmzmocz.jpg	1393436.0759	1393437.0160	1393437.0239	1393440.0219
44	sun_agztutxlbisetcoy.jpg	1393440.2308	1393442.2163	1393442.2234	1393445.2205
45	sun_acrnjwraljsrcesa.jpg	1393445.4262	1393446.3841	1393446.3935	1393449.3911
46	sun_aheymxjdkejwbehi.jpg	1393449.5979	1393450.2879	1393450.2968	1393453.2944
47	sun_azbjiqtpgvxjjuzr.jpg	1393453.5025	1393454.0717	1393454.0812	1393457.0785
48	sun_alvoexkareccqxgq.jpg	1393457.2856	1393458.5680	1393458.5742	1393461.5721
49	sun_apbmvnchyjqxptff.jpg	1393461.7784	1393462.1842	1393462.1921	1393465.1899
50	sun_aavzagnbsbymxlyh.jpg	1393465.3977	1393466.2556	1393466.2622	1393469.2599
51	sun_aitsjpidonnknvwm.jpg	1393469.4662	1393471.1119	1393471.1182	1393474.1163
52	sun_ayfwodsvoatztibh.jpg	1393474.3228	1393475.7520	1393475.7608	1393478.7585
53	sun_amppupofnobgmmut.jpg	1393478.9678	1393479.7122	1393479.7218	1393482.7196
54	sun_ajnzhggqkskokvyd.jpg	1393482.9263	1393483.3804	1393483.3901	1393486.3869
55	sun_aprmzdnceosyiiqx.jpg	1393486.5932	1393487.1362	1393487.1442	1393490.1418
56	sun_abwmjfnrmqjdltxn.jpg	1393490.3497	1393492.2716	1393492.2802	1393495.2772
57	sun_asinbgvcqvrnsssj.jpg	1393495.4836	1393496.8480	1393496.8542	1393499.8523
58	sun_apaviskbumvstgsv.jpg	1393500.0589	1393502.9680	1393502.9758	1393505.9736
59	sun_afkjkqlhqnwftaam.jpg	1393506.1815	1393509.2001	1393509.2097	1393512.2072
60	sun_awusemdipqlufrmt.jpg	1393512.4139	1393513.1515	1393513.1617	1393516.1590
61	sun_aorysgcktvwbovgc.jpg	1393516.3666	1393516.7814	1393516.7895	1393519.7872
62	sun_aqxypnffmypblepf.jpg	1393519.9959	1393520.5355	1393520.5422	1393523.5399
63	sun_acznlxcgnetogsai.jpg	1393523.7469	1393524.8955	1393524.9055	1393527.9028
64	sun_apaxvwendkkxoteh.jpg	1393528.1099	1393529.1200	1393529.1291	1393532.1269
65	sun_apbokiglhflrauxo.jpg	1393532.3352	1393533.5439	1393533.5502	1393536.5479
66	sun_ahovdllcccjqjyeb.jpg	1393536.7535	1393538.8397	1393538.8502	1393541.8474
67	sun_aowefbfvclkxfhop.jpg	1393542.0544	1393542.5195	1393542.5295	1393545.5273
68	sun_atfpttqtzuliaaim.jpg	1393545.7343	1393546.0239	1393546.0302	1393549.0278
69	sun_algkamzphkipsfil.jpg	1393549.2358	1393549.6240	1393549.6303	1393552.6280
70	sun_ataniphupyuxeowc.jpg	1393552.8340	1393553.2161	1393553.2233	1393556.2212
71	sun_ajmwiafzffjerzeb.jpg	1393556.4308	1393557.1681	1393557.1768	1393560.1745
72	sun_ayhqvuklxnmflgid.jpg	1393560.3860	1393560.7574	1393560.7681	1393563.7653
73	sun_ajnzlaendvxbrnmy.jpg	1393563.9727	1393564.9761	1393564.9834	1393567.9810
74	sun_aknopalvgzzgfngw.jpg	1393568.1903	1393568.9674	1393568.9769	1393571.9744
75	sun_aexxtzchsriqptwg.jpg	1393572.1827	1393574.7161	1393574.7233	1393577.7213
76	sun_afmgqyvomuhprelx.jpg	1393577.9308	1393579.6638	1393579.6701	1393582.6678
77	sun_aevezokbkeojznwq.jpg	1393582.8745	1393583.1119	1393583.1220	1393586.1194
78	sun_adcrxklhlbwrbkgm.jpg	1393586.3269	1393587.0394	1393587.0461	1393590.0440
79	sun_aepvxmukjcxphfiy.jpg	1393590.2496	1393590.5519	1393590.5608	1393593.5582
80	sun_aqgncenzjwahkkgv.jpg	1393593.7639	1393594.3334	1393594.3457	1393597.3433
81	sun_aijkdpqohzcmjsco.jpg	1393597.5514	1393598.0800	1393598.0863	1393601.0840
82	sun_auyrvbsgjzcbllwy.jpg	1393601.2897	1393601.5520	1393601.5585	1393604.5563
83	sun_aqrdtsxisrulfusj.jpg	1393604.7622	1393605.3436	1393605.3568	1393608.3542
84	sun_aryemauxglpckieh.jpg	1393608.5618	1393608.8634	1393608.8741	1393611.8715
85	sun_ahilhlihtltiiszr.jpg	1393612.0780	1393613.4957	1393613.5021	1393616.4998
86	sun_aiwjjxhtgtrwjdsf.jpg	1393616.7055	1393616.9669	1393616.9757	1393619.9735
87	sun_aclkmsuodfedolnj.jpg	1393620.1830	1393620.3921	1393620.4016	1393623.3992
88	sun_aiceqwbizyfbxjga.jpg	1393623.6049	1393624.0959	1393624.1050	1393627.1023
89	labelme_kxvouciolcpqplr.jpg	1393627.3080	1393628.3598	1393628.3687	1393631.3664
90	sun_agauzddnbwdarpbz.jpg	1393631.5776	1393631.7998	1393631.8097	1393634.8069
91	sun_amjiwsczphtrowfh.jpg	1393635.0134	1393635.6154	1393635.6228	1393638.6208
92	sun_arehvoriqhbnqssp.jpg	1393638.8279	1393639.1176	1393639.1263	1393642.1241
93	sun_aottaoasihbcshqd.jpg	1393642.3342	1393646.1196	1393646.1260	1393649.1238
94	sun_anlddfvefwvocyae.jpg	1393649.3303	1393649.7275	1393649.7347	1393652.7326
95	sun_apfmyjfgtjmwzvfb.jpg	1393652.9428	1393653.5036	1393653.5134	1393656.5109
96	sun_ahdoavtbmzlbpsyw.jpg	1393656.7192	1393657.2319	1393657.2384	1393660.2362
97	sun_abjtwfukuwddzted.jpg	1393660.4435	1393661.2953	1393661.3018	1393664.2994
98	sun_arhwdncltdednobr.jpg	1393664.5053	1393665.1263	1393665.1392	1393668.1368
99	sun_awnqiikzaispgmwo.jpg	1393668.3450	1393669.1095	1393669.1169	1393672.1146
100	sun_avcxsdrrfbrkydcp.jpg	1393672.3245	1393675.8799	1393675.8865	1393678.8844
101	sun_agxuuvqtddjgypyr.jpg	1393981.1400	1393988.2286	1393988.2457	1393991.2434
102	sun_ajyzthllrejcnemk.jpg	1393991.4520	1393992.8867	1393992.8950	1393995.8930
103	sun_acxkpeoqbwcxfvip.jpg	1393996.0989	1393996.9270	1393996.9339	1393999.9320
104	sun_afbibxsnpvkmvhxn.jpg	1394000.1433	1394000.7674	1394000.7798	1394003.7774
105	sun_anydqmweocgeuwol.jpg	1394003.9838	1394004.4070	1394004.4137	1394007.4116
106	sun_ajjktnfzwntvwsfh.jpg	1394007.6182	1394008.2256	1394008.2352	1394011.2334
107	sun_afsugeohwcfpkvgo.jpg	1394011.4412	1394011.6629	1394011.6697	1394014.6675
108	sun_algllabdmeofrowq.jpg	1394014.8731	1394015.1174	1394015.1241	1394018.1221
109	sun_attdviyipsljunts.jpg	1394018.3285	1394018.6790	1394018.6911	1394021.6884
110	sun_anaaondppjmietbw.jpg	1394021.8962	1394022.2952	1394022.3018	1394025.2996
111	sun_akcicdjszssqmkjl.jpg	1394025.5052	1394025.8095	1394025.8161	1394028.8141
112	sun_ansbufagozaoxmru.jpg	1394029.0208	1394029.0873	1394029.1001	1394032.0978
113	sun_agfbbeozqztznacq.jpg	1394032.3062	1394032.9183	1394032.9250	1394035.9225
114	sun_abruimnjlaxgqbze.jpg	1394036.1290	1394036.6431	1394036.6533	1394039.6502
115	sun_aknkhdxyjkyfjvgl.jpg	1394039.8584	1394040.1588	1394040.1669	1394043.1649
116	sun_aauyknaheebshrxq.jpg	1394043.3774	1394043.7591	1394043.7658	1394046.7635
117	sun_atnitteqxzjhgjfy.jpg	1394046.9693	1394047.5110	1394047.5175	1394050.5154
118	sun_aihqqhkbilvntzdn.jpg	1394050.7212	1394050.9906	1394051.0024	1394054.0001
119	sun_ajlfvmneqpseyguf.jpg	1394054.2076	1394054.5433	1394054.5539	1394057.5515
120	sun_akoozmcccyrpzqdd.jpg	1394057.7572	1394057.9829	1394057.9905	1394060.9883
121	sun_aqocausinnuaogit.jpg	1394061.1940	1394061.4469	1394061.4603	1394064.4579
122	sun_ajomvdpkryvawqyv.jpg	1394064.6660	1394065.2149	1394065.2236	1394068.2216
123	labelme_vvuttgvlwdydbkh.jpg	1394068.4310	1394068.8391	1394068.8513	1394071.8493
124	sun_arrmumgicgcoptbt.jpg	1394072.0560	1394072.3029	1394072.3111	1394075.3093
125	sun_apmpdqangkfvwrpn.jpg	1394075.5196	1394075.7775	1394075.7883	1394078.7862
126	sun_ainaeweeykjelyft.jpg	1394078.9927	1394079.3266	1394079.3333	1394082.3314
127	sun_apdxoksqpmpghypf.jpg	1394082.5372	1394082.9032	1394082.9126	1394085.9105
128	sun_anjplxxhrqpqpzlr.jpg	1394086.1188	1394086.2867	1394086.2985	1394089.2963
129	sun_abqihmfbiddwtcmz.jpg	1394089.5025	1394089.7854	1394089.7918	1394092.7900
130	sun_apynckhmoftszqoq.jpg	1394092.9959	1394093.2708	1394093.2788	1394096.2770
131	sun_ahvpoenucqfbjkep.jpg	1394096.4885	1394096.6468	1394096.6571	1394099.6551
132	sun_acdlgczjpwkeuvgy.jpg	1394099.8612	1394100.0231	1394100.0296	1394103.0270
133	sun_anjpziwkjniyzlkr.jpg	1394103.2333	1394103.6545	1394103.6631	1394106.6611
134	sun_ahmtwjhnkkalblbh.jpg	1394106.8695	1394107.2951	1394107.3019	1394110.2995
135	sun_amgkcbncvhsceeuq.jpg	1394110.5060	1394111.0788	1394111.0855	1394114.0834
136	sun_atcwuzwzjucraewh.jpg	1394114.2897	1394114.6552	1394114.6637	1394117.6618
137	sun_agrwbmhcpmfuwmsg.jpg	1394117.8713	1394119.5199	1394119.5265	1394122.5245
