Var1,Var2,Var3,Var4,Var5,Var6
sun_afbibxsnpvkmvhxn.jpg,sun_ahljzhgcdpomplvg.jpg,right,right,1,kitchen
sun_aicgqimzgcarglin.jpg,sun_auvoisqytmeuwsei.jpg,left,right,0,kitchen
sun_aqwqdcouifhpnenx.jpg,sun_afdziudzwqvfqhaa.jpg,right,left,0,bahtroom
labelme_huhykljhyigbhct.jpg,sun_abxhgawspdtjctgo.jpg,left,right,0,bahtroom
labelme_xbsnnlvmskdknsb.jpg,sun_abdfyewutgothiee.jpg,right,right,1,bahtroom
sun_ajtqfkwqpektgwsv.jpg,sun_adthtuhxofgeohjs.jpg,right,right,1,kitchen
labelme_uogxwpbmtxcnafj.jpg,sun_abcpcybofkipeamp.jpg,right,right,1,bahtroom
sun_alvdofgavhiiyosk.jpg,sun_ahspylgoovwmwvgk.jpg,left,left,1,kitchen
sun_amkckbxigznghvip.jpg,sun_aunswfyhvhmybvbq.jpg,left,left,1,bahtroom
sun_ateowiyyxtlctxnj.jpg,sun_aehohrcvfycxfsrj.jpg,left,right,0,bahtroom
sun_aarslpsdvwwqyohc.jpg,sun_adrgwxplvsqsbmwy.jpg,left,right,0,bahtroom
sun_arvuykssgbdzaavk.jpg,sun_ahuvhvttjxsfdgfz.jpg,right,left,0,kitchen
sun_ahqrrgokszxtlsyi.jpg,sun_aaktvzxuzcrholrn.jpg,left,left,1,kitchen
sun_anyicygoftxdnxql.jpg,sun_algoxblljggkqwvc.jpg,right,left,0,bahtroom
sun_aevezokbkeojznwq.jpg,sun_awvlwaynzureoabt.jpg,right,right,1,kitchen
sun_aorysgcktvwbovgc.jpg,labelme_lvxvmtajfqifwsi.jpg,left,right,0,kitchen
sun_acpufsxakyzrtcti.jpg,sun_ayyzminaxvwhwfvn.jpg,right,left,0,kitchen
sun_aovnyfewezfmgwke.jpg,sun_abdxkyyxwfskuaqb.jpg,right,left,0,kitchen
sun_ajkawyunawdxfxob.jpg,sun_ayzxggniujkexyak.jpg,right,right,1,kitchen
sun_ahixopvqokygrcgy.jpg,sun_aemhnwrhcighbgjd.jpg,right,right,1,bahtroom
sun_avcxsdrrfbrkydcp.jpg,sun_autjxzcszixzzsjs.jpg,right,right,1,bahtroom
sun_ajnvbqoszcilcmds.jpg,sun_aapllqyqlykszopd.jpg,right,right,1,kitchen
sun_aobyfgpmnvnnuolx.jpg,sun_awrpplbfwpcnfprs.jpg,right,left,0,kitchen
sun_agrhekhltqnhqoau.jpg,sun_agorklincwxrdtga.jpg,right,right,1,kitchen
sun_axouwjxmvidopcvg.jpg,sun_avoysclcqtohyxqk.jpg,right,right,1,kitchen
sun_atcwuzwzjucraewh.jpg,sun_abktjgdhjcircubi.jpg,left,right,0,bahtroom
