trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
-9	sun_abcegrcyvvjrcyqh.jpg	428709.8844	428715.6446	428715.6891	428718.6915
-8	zsun_azsarwkorsusbsvt.jpg	428718.9084	428726.5108	428726.5313	428729.5504
-7	sun_alnurdgpqodhpawt.jpg	428729.7672	428730.8690	428730.9182	428733.9206
-6	zsun_aznghcvrwwxvpmki.jpg	428734.1375	428735.0941	428735.1716	428738.1741
-5	zsun_azygosgrjwvkyftq.jpg	428738.3909	428739.1971	428739.2249	428742.2441
-4	sun_agtnmpgkrgkzbvjw.jpg	428742.4609	428743.2368	428743.2616	428746.2640
-3	zsun_aztxzdqhbookjzfk.jpg	428746.4809	428747.0210	428747.0480	428750.0504
-2	sun_ayqukzphzqiguvnc.jpg	428750.2673	428751.1013	428751.1180	428754.1371
-1	sun_amkigjbbrauvgdgg.jpg	428754.3539	428755.7947	428755.8218	428758.8242
0	sun_arxtwfsqslcwecww.jpg	428759.0411	428770.8452	428770.8841	428773.8865
1	sun_aaznyvntjefttmaz.jpg	428826.6795	428826.9088	428827.0132	428830.0156
2	sun_abntrinbqbsqoowj.jpg	428830.2324	428831.7971	428831.8171	428834.8195
3	sun_aapitsgbtktqubfy.jpg	428835.0364	428835.7249	428835.7703	428838.7727
4	sun_auetjleugthejgoc.jpg	428838.9896	428839.2880	428839.3232	428842.3256
5	sun_azqlhsjgbwpcseew.jpg	428842.5425	428842.8463	428842.8928	428845.8952
6	sun_alvdofgavhiiyosk.jpg	428846.1120	428846.7573	428846.7793	428849.7817
7	sun_aazqzpomyylceich.jpg	428849.9985	428850.6034	428850.6491	428853.6515
8	sun_ajrwezxmmjejxsbt.jpg	428853.8684	428854.1572	428854.1853	428857.2044
9	sun_aglpqkbwvbofhrgt.jpg	428857.4213	428858.9410	428858.9725	428861.9750
10	sun_azgmgniivgpqrqvu.jpg	428862.1918	428864.1731	428864.2268	428867.2293
11	sun_aleqenyvunhactkl.jpg	428867.4461	428867.9089	428867.9629	428870.9656
12	sun_azqyogdvyhahyram.jpg	428871.1825	428871.6932	428871.7830	428874.7854
13	sun_agldadusrezhmyva.jpg	428875.0023	428876.5561	428876.5869	428879.5893
14	sun_ajlxdvfhywnxqswk.jpg	428879.8062	428884.3043	428884.3432	428887.3456
15	sun_ahrhvpdhoamfdhpf.jpg	428887.5625	428889.4371	428889.4640	428892.4665
16	sun_anecxlyzpkjfxrgi.jpg	428892.6833	428896.8732	428896.9368	428899.9392
17	sun_ahmxuekfssakrqmm.jpg	428900.1561	428901.2568	428901.2903	428904.2928
18	sun_aigrduzwokggqqja.jpg	428904.5096	428907.0613	428907.0784	428910.0808
19	sun_awvfnogmotsvhofs.jpg	428910.2977	428911.3972	428911.4153	428914.4511
20	sun_akuognalfgmelepa.jpg	428914.6679	428915.1811	428915.2517	428918.2542
21	sun_azxetkujrgobhzbi.jpg	428918.4710	428919.4367	428919.4718	428922.4743
22	sun_abdiiftvfbsqoreg.jpg	428922.6911	428924.1734	428924.2257	428927.2281
23	labelme_jdgkziouohmryxw.jpg	428927.4450	428928.6371	428928.6960	428931.6984
24	sun_auwldxtolpavypst.jpg	428931.9153	428935.1658	428935.2180	428938.2204
25	sun_ahvszpwjtodgwusx.jpg	428938.4373	428939.5409	428939.5715	428942.5740
26	sun_avtdeaxixgmwquck.jpg	428942.7908	428943.9642	428944.0585	428947.0610
