trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
-5	labelme_albwvmqgrgwlxxx.jpg	4077.6762	4080.1769	4080.1929	4083.1929
-4	labelme_aqzpndrsppatraq.jpg	4083.4012	4084.3132	4084.3262	4087.3263
-3	labelme_huhykljhyigbhct.jpg	4087.5346	4087.9208	4087.9346	4090.9346
-2	labelme_ihjqlrmkjyemzya.jpg	4091.1429	4091.5211	4091.5346	4094.5346
-1	labelme_iocgjwcthdvttcs.jpg	4094.7430	4095.1132	4095.1263	4098.1263
0	labelme_jdgkziouohmryxw.jpg	4098.3347	4098.7610	4098.7763	4101.7763
1	labelme_kxvouciolcpqplr.jpg	4103.2847	4108.5048	4108.5180	4111.5181
2	labelme_maitcyodsfflkgk.jpg	4111.7347	4112.0326	4112.0514	4115.0514
3	labelme_mitrosygehdeufb.jpg	4115.2598	4115.6245	4115.6431	4118.6431
4	labelme_nqcamkzzhnvpnaa.jpg	4118.8515	4119.6652	4119.6848	4122.6848
5	labelme_qglnhnudtmzmocz.jpg	4122.8931	4129.6091	4129.6265	4132.6265
6	labelme_rbrrbtaxscidgzz.jpg	4132.8348	4134.3692	4134.3849	4137.3849
7	labelme_rwwtgnnqniabmbw.jpg	4137.5932	4137.8729	4137.8849	4140.8849
8	labelme_snvevhpzwsruuja.jpg	4141.0932	4143.1450	4143.1599	4146.1599
9	labelme_tyvaihcwznonioe.jpg	4146.3683	4146.7052	4146.7183	4149.7183
10	labelme_uogxwpbmtxcnafj.jpg	4149.9266	4150.2570	4150.2766	4153.2766
11	labelme_vvuttgvlwdydbkh.jpg	4153.4850	4153.5990	4153.6183	4156.6183
12	labelme_xbsnnlvmskdknsb.jpg	4156.8267	4157.0810	4157.0933	4160.0930
13	labelme_yfvjufwlxjspvee.jpg	4160.3013	4161.1609	4161.1764	4164.1767
14	labelme_ypjbonxtpwcohyk.jpg	4164.3850	4164.9929	4165.0100	4168.0100
15	sun_aailohlxppyetonl.jpg	4168.2184	4168.4889	4168.5017	4171.5017
16	sun_aapitsgbtktqubfy.jpg	4171.7101	4172.0649	4172.0767	4175.0768
17	sun_aarrcygkwuzaeiuk.jpg	4175.2851	4175.6726	4175.6851	4178.6851
18	sun_aarslpsdvwwqyohc.jpg	4178.8935	4179.3930	4179.4101	4182.4101
19	sun_aaslbwtcdcwjukuo.jpg	4182.6185	4183.2568	4183.2685	4186.2685
20	sun_aasmevtpkslccptd.jpg	4186.4768	4186.7931	4186.8102	4189.8102
21	sun_aaurzltrbxfksuhz.jpg	4190.0185	4190.3131	4190.3268	4193.3269
22	sun_aauyknaheebshrxq.jpg	4193.5352	4193.8728	4193.8852	4196.8852
23	sun_aavhrsfjbserjtht.jpg	4197.0935	4197.4652	4197.4769	4200.4769
24	sun_aavzagnbsbymxlyh.jpg	4200.6852	4201.3210	4201.3352	4204.3353
25	sun_aawefvrbscajixha.jpg	4204.5436	4204.9366	4204.9519	4207.9519
26	sun_aaznyvntjefttmaz.jpg	4208.1603	4208.4810	4208.4936	4211.4936
27	sun_aazqzpomyylceich.jpg	4211.7020	4211.8811	4211.8936	4214.8936
28	sun_abcegrcyvvjrcyqh.jpg	4215.1020	4215.3606	4215.3770	4218.3770
29	sun_abdiiftvfbsqoreg.jpg	4218.5853	4219.4808	4219.4937	4222.4937
30	sun_abetroyqyygtscdw.jpg	4222.7020	4222.9126	4222.9270	4225.9270
31	sun_abgovsbwwyozjdzp.jpg	4226.1354	4226.2169	4226.2354	4229.2354
32	sun_abjtwfukuwddzted.jpg	4229.4437	4229.5611	4229.5771	4232.5771
33	sun_abkdszjmterwgxgk.jpg	4232.7854	4232.9209	4232.9354	4235.9354
34	sun_abntrinbqbsqoowj.jpg	4236.1438	4236.2090	4236.2271	4239.2271
35	sun_abqihmfbiddwtcmz.jpg	4239.4354	4239.6090	4239.6271	4242.6271
36	sun_abruimnjlaxgqbze.jpg	4242.8355	4243.2331	4243.2521	4246.2521
37	sun_abtdlltafvpypcff.jpg	4246.4605	4246.7291	4246.7438	4249.7438
38	sun_abvctdwfbgsumtid.jpg	4249.9522	4250.2172	4250.2355	4253.2355
39	sun_abwmjfnrmqjdltxn.jpg	4253.4439	4253.6172	4253.6355	4256.6355
40	sun_accreawivrzlvqyc.jpg	4256.8439	4257.0848	4257.1022	4260.1022
41	sun_acdlgczjpwkeuvgy.jpg	4260.3106	4260.5372	4260.5522	4263.5523
42	sun_acduarbnmmoglmiv.jpg	4263.7606	4264.0492	4264.0606	4267.0606
43	sun_acfmftudsenhrfhy.jpg	4267.2689	4267.5210	4267.5356	4270.5356
44	sun_acjcdbqhletirjdl.jpg	4270.7439	4271.0006	4271.0190	4274.0190
45	sun_aclkmsuodfedolnj.jpg	4274.2273	4274.4728	4274.4856	4277.4857
46	sun_acnxqvumxuhphsox.jpg	4277.6940	4277.8729	4277.8856	4280.8857
47	sun_acpufsxakyzrtcti.jpg	4281.0940	4281.5290	4281.5440	4284.5440
48	sun_acrnjwraljsrcesa.jpg	4284.7524	4284.7928	4284.8107	4287.8107
49	sun_acselzrpurxmucxu.jpg	4288.0191	4288.1691	4288.1857	4291.1857
50	sun_acsgbuurtwghzjel.jpg	4291.3941	4291.5846	4291.6024	4294.6024
51	sun_acwjdupvyjsugpay.jpg	4294.8108	4295.0971	4295.1108	4298.1108
52	sun_acxkpeoqbwcxfvip.jpg	4298.3191	4298.6011	4298.6191	4301.6191
53	sun_aczamediblpgqmwt.jpg	4301.8275	4302.0572	4302.0691	4305.0691
54	sun_acznlxcgnetogsai.jpg	4305.2775	4305.5110	4305.5275	4308.5275
55	sun_adbqksnwuqqwdpxc.jpg	4308.7358	4308.9209	4308.9358	4311.9359
56	sun_adcrxklhlbwrbkgm.jpg	4312.1442	4312.3126	4312.3275	4315.3275
57	sun_admyjjnxxddpqaud.jpg	4315.5359	4315.7784	4315.7942	4318.7942
58	sun_adoqbnxbotablpwl.jpg	4319.0026	4319.3126	4319.3275	4322.3276
59	sun_aelpnoofufvvqqhf.jpg	4322.5359	4322.9692	4322.9859	4325.9859
60	sun_aemhfvjhjlqeigto.jpg	4326.1943	4326.5288	4326.5443	4329.5443
61	sun_aenotlpyftoioydp.jpg	4329.7526	4329.9609	4329.9776	4332.9776
62	sun_aepbpufpcgbxxcdd.jpg	4333.1860	4333.2650	4333.2776	4336.2777
63	sun_aepdfzurhsaporkg.jpg	4336.4860	4337.0086	4337.0277	4340.0277
64	sun_aepvxmukjcxphfiy.jpg	4340.2360	4340.4969	4340.5110	4343.5110
65	sun_aeqdtdmvphproomc.jpg	4343.7194	4344.0492	4344.0610	4347.0610
66	sun_aevezokbkeojznwq.jpg	4347.2694	4347.4969	4347.5110	4350.5111
67	sun_aewpzjfotcutxost.jpg	4350.7194	4351.0570	4351.0694	4354.0694
68	sun_aexxtzchsriqptwg.jpg	4354.2778	4354.4649	4354.4778	4357.4778
69	sun_aezuhrkzpxgayaoe.jpg	4357.6861	4357.9931	4358.0111	4361.0111
70	sun_afbibxsnpvkmvhxn.jpg	4361.2195	4361.6009	4361.6194	4364.6195
71	sun_afkjkqlhqnwftaam.jpg	4364.8278	4365.1289	4365.1445	4368.1445
72	sun_afmgqyvomuhprelx.jpg	4368.3528	4368.6410	4368.6528	4371.6528
73	sun_afmsnwrincaowafk.jpg	4371.8612	4372.0375	4372.0528	4375.0529
74	sun_afscqnhvouixrplg.jpg	4375.2612	4375.4799	4375.4945	4378.4945
75	sun_afsugeohwcfpkvgo.jpg	4378.7029	4378.9130	4378.9279	4381.9279
76	sun_afuskngoumwbljpz.jpg	4382.1362	4382.3882	4382.4029	4385.4029
77	sun_afutksgwyoqttegy.jpg	4385.6113	4385.8652	4385.8779	4388.8779
78	sun_afvkcxzohlpzliti.jpg	4389.0863	4389.5210	4389.5363	4392.5363
79	sun_afznskzeyysxrlqg.jpg	4392.7446	4393.4732	4393.4863	4396.4863
80	sun_agauzddnbwdarpbz.jpg	4396.6947	4397.2086	4397.2280	4400.2280
81	sun_agctjiqflyqiupzx.jpg	4400.4363	4400.7046	4400.7197	4403.7197
82	sun_ageomnacdflnblsi.jpg	4403.9280	4404.3532	4404.3697	4407.3697
83	sun_agfbbeozqztznacq.jpg	4407.5780	4407.8729	4407.8864	4410.8864
84	sun_agguqiubmwhqqunb.jpg	4411.0947	4411.4892	4411.5031	4414.5031
85	sun_agldadusrezhmyva.jpg	4414.7114	4415.5770	4415.5947	4418.5948
86	sun_aglpqkbwvbofhrgt.jpg	4418.8031	4419.3768	4419.3948	4422.3948
87	sun_aglwoufpxbtxqecp.jpg	4422.6031	4422.9126	4422.9281	4425.9281
88	sun_agqborhpkvvwbvfl.jpg	4426.1365	4426.3691	4426.3865	4429.3865
89	sun_agqfelptwqubavme.jpg	4429.5948	4429.9044	4429.9198	4432.9198
90	sun_agrhekhltqnhqoau.jpg	4433.1282	4433.4412	4433.4532	4436.4532
91	sun_agrkvwbkgrglcoga.jpg	4436.6615	4436.9564	4436.9699	4439.9699
92	sun_agrwbmhcpmfuwmsg.jpg	4440.1782	4440.4731	4440.4866	4443.4866
93	sun_agtnmpgkrgkzbvjw.jpg	4443.6949	4443.9852	4444.0032	4447.0033
94	sun_agxuuvqtddjgypyr.jpg	4447.2116	4447.5530	4447.5699	4450.5699
95	sun_agztutxlbisetcoy.jpg	4450.7783	4451.3733	4451.3866	4454.3866
96	sun_ahbhthuvbhsokcnl.jpg	4454.5950	4454.9289	4454.9450	4457.9450
97	sun_ahdoavtbmzlbpsyw.jpg	4458.1533	4458.6213	4458.6366	4461.6367
98	sun_ahdycvpopffkzzsu.jpg	4461.8450	4462.1131	4462.1283	4465.1284
99	sun_aheymxjdkejwbehi.jpg	4465.3367	4465.6330	4465.6450	4468.6450
100	sun_ahijqszoswveeyji.jpg	4468.8534	4469.2092	4469.2284	4472.2284
