trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
-5	labelme_albwvmqgrgwlxxx.jpg	3919860.8249	3919865.9645	3919865.9834	3919868.9827
-4	labelme_aqzpndrsppatraq.jpg	3919869.1915	3919872.2287	3919872.2415	3919875.2415
-3	labelme_huhykljhyigbhct.jpg	3919875.4499	3919881.1887	3919881.2082	3919884.2082
-2	labelme_ihjqlrmkjyemzya.jpg	3919884.4167	3919888.0708	3919888.0835	3919891.0834
-1	labelme_iocgjwcthdvttcs.jpg	3919891.2916	3919895.6795	3919895.6915	3919898.6916
0	labelme_jdgkziouohmryxw.jpg	3919898.9000	3919901.2604	3919901.2751	3919904.2749
1	labelme_kxvouciolcpqplr.jpg	3919914.7250	3919927.7701	3919927.7834	3919930.7834
2	labelme_maitcyodsfflkgk.jpg	3919930.9919	3919932.4766	3919932.4917	3919935.4917
3	labelme_mitrosygehdeufb.jpg	3919935.7001	3919940.6526	3919940.6671	3919943.6668
4	labelme_nqcamkzzhnvpnaa.jpg	3919943.8752	3919949.0370	3919949.0502	3919952.0501
5	labelme_qglnhnudtmzmocz.jpg	3919952.2586	3919952.9167	3919952.9336	3919955.9335
6	labelme_rbrrbtaxscidgzz.jpg	3919956.1419	3919956.6804	3919956.6920	3919959.6919
7	labelme_rwwtgnnqniabmbw.jpg	3919959.9003	3919960.6626	3919960.6753	3919963.6752
8	labelme_snvevhpzwsruuja.jpg	3919963.8836	3919965.8285	3919965.8419	3919968.8420
9	labelme_tyvaihcwznonioe.jpg	3919969.0504	3919970.3327	3919970.3505	3919973.3503
10	labelme_uogxwpbmtxcnafj.jpg	3919973.5587	3919976.8286	3919976.8420	3919979.8421
11	labelme_vvuttgvlwdydbkh.jpg	3919980.0504	3919980.7483	3919980.7671	3919983.7670
12	labelme_xbsnnlvmskdknsb.jpg	3919983.9754	3919985.7246	3919985.7423	3919988.7421
13	labelme_yfvjufwlxjspvee.jpg	3919988.9504	3919989.5963	3919989.6089	3919992.6088
14	labelme_ypjbonxtpwcohyk.jpg	3919992.8171	3919998.9806	3919999.0005	3920002.0004
15	sun_aailohlxppyetonl.jpg	3920002.2087	3920005.0283	3920005.0424	3920008.0423
16	sun_aapitsgbtktqubfy.jpg	3920008.2505	3920010.7403	3920010.7588	3920013.7588
17	sun_aarrcygkwuzaeiuk.jpg	3920013.9672	3920017.3725	3920017.3922	3920020.3922
18	sun_aarslpsdvwwqyohc.jpg	3920020.6006	3920073.0375	3920073.0510	3920076.0507
19	sun_aaslbwtcdcwjukuo.jpg	3920076.2591	3920101.1565	3920101.1760	3920104.1759
20	sun_aasmevtpkslccptd.jpg	3920104.3843	3920110.2045	3920110.2177	3920113.2177
21	sun_aaurzltrbxfksuhz.jpg	3920113.4259	3920136.0766	3920136.0930	3920139.0928
22	sun_aauyknaheebshrxq.jpg	3920139.3011	3920141.6605	3920141.6762	3920144.6761
23	sun_aavhrsfjbserjtht.jpg	3920144.8844	3920147.0285	3920147.0429	3920150.0428
24	sun_aavzagnbsbymxlyh.jpg	3920150.2512	3920152.1724	3920152.1848	3920155.1845
25	sun_aawefvrbscajixha.jpg	3920155.3928	3920156.4025	3920156.4178	3920159.4178
26	sun_aaznyvntjefttmaz.jpg	3920159.6263	3920161.5082	3920161.5262	3920164.5262
27	sun_aazqzpomyylceich.jpg	3920164.7346	3920165.2524	3920165.2681	3920168.2678
28	sun_abcegrcyvvjrcyqh.jpg	3920168.4763	3920172.9358	3920172.9512	3920175.9513
29	sun_abdiiftvfbsqoreg.jpg	3920176.1596	3920176.8277	3920176.8429	3920179.8430
30	sun_abetroyqyygtscdw.jpg	3920180.0513	3920182.5777	3920182.5932	3920185.5931
31	sun_abgovsbwwyozjdzp.jpg	3920185.8014	3920188.2206	3920188.2347	3920191.2348
32	sun_abjtwfukuwddzted.jpg	3920191.4429	3920191.9242	3920191.9431	3920194.9429
33	sun_abkdszjmterwgxgk.jpg	3920195.1514	3920199.0763	3920199.0933	3920202.0930
34	sun_abntrinbqbsqoowj.jpg	3920202.3014	3920205.9537	3920205.9681	3920208.9681
35	sun_abqihmfbiddwtcmz.jpg	3920209.1764	3920211.0365	3920211.0514	3920214.0515
36	sun_abruimnjlaxgqbze.jpg	3920214.2598	3920217.5244	3920217.5434	3920220.5432
37	sun_abtdlltafvpypcff.jpg	3920220.7515	3920222.3539	3920222.3681	3920225.3682
38	sun_abvctdwfbgsumtid.jpg	3920225.5765	3920227.0765	3920227.0932	3920230.0932
39	sun_abwmjfnrmqjdltxn.jpg	3920230.3016	3920232.5484	3920232.5684	3920235.5682
40	sun_accreawivrzlvqyc.jpg	3920235.7765	3920256.2843	3920256.3016	3920259.3016
41	sun_acdlgczjpwkeuvgy.jpg	3920259.5100	3920261.5002	3920261.5184	3920264.5183
